FError,LOC,XP,foosball,Partays,B$+
1,28658,extensive,no,none,yes
0,39480,extensive,yes,some,yes
0,14039,extensive,yes,none,no
1,40037,minimal,no,many,no
1,41299,minimal,no,none,no
0,22377,extensive,no,some,no
0,21352,extensive,no,some,no
0,34819,extensive,yes,none,yes
1,53924,minimal,yes,none,no
1,43176,moderate,yes,many,no
1,40463,moderate,yes,many,yes
0,40293,extensive,yes,none,yes
1,47854,moderate,yes,none,yes
1,29012,minimal,yes,some,no
1,12683,moderate,no,many,yes
1,32491,minimal,yes,none,no
1,28450,moderate,no,some,yes
0,26474,extensive,yes,some,yes
0,26033,extensive,no,none,yes
1,60791,moderate,yes,none,yes
1,47748,extensive,yes,many,yes
0,17938,minimal,no,some,yes
0,43478,moderate,yes,some,no
0,18473,moderate,yes,some,yes
1,31176,moderate,no,many,yes
1,37367,minimal,no,none,no
0,48236,moderate,yes,some,yes
1,58069,moderate,no,many,yes
1,58460,moderate,no,none,no
0,16866,extensive,no,some,no
1,24070,extensive,yes,none,yes
1,45469,extensive,no,many,yes
0,20287,extensive,yes,none,yes
0,41239,extensive,yes,none,yes
0,26304,moderate,no,none,yes
1,19030,minimal,no,none,no
1,60303,minimal,yes,some,no
1,11745,moderate,no,some,no
1,17065,minimal,yes,none,yes
0,42435,extensive,no,some,yes
0,10733,extensive,yes,none,yes
0,21571,moderate,no,none,no
1,8893,extensive,no,some,no
1,15226,minimal,no,none,no
0,44757,moderate,no,some,yes
1,58958,moderate,yes,none,no
1,47288,moderate,yes,some,yes
1,61143,moderate,yes,some,yes
1,17936,minimal,yes,none,no
0,15041,minimal,no,none,no
0,27070,extensive,no,none,yes
0,34247,moderate,no,some,no
0,44269,extensive,no,some,no
0,9872,extensive,no,some,yes
0,8426,moderate,yes,some,yes
1,41391,minimal,yes,none,no
0,3561,minimal,yes,none,yes
1,14851,minimal,yes,none,no
0,33213,extensive,yes,many,yes
0,42941,minimal,yes,some,yes
0,21568,minimal,yes,none,yes
1,16466,minimal,yes,many,no
1,39278,extensive,yes,some,yes
0,25321,moderate,yes,none,yes
1,29635,moderate,yes,some,yes
0,15553,extensive,no,some,yes
0,30489,extensive,no,some,yes
0,8417,extensive,yes,many,yes
1,24556,moderate,yes,many,yes
1,44066,moderate,no,some,no
1,34417,moderate,yes,some,yes
0,29165,moderate,yes,none,yes
0,6981,extensive,yes,none,yes
1,43572,minimal,yes,none,no
0,28185,extensive,yes,some,yes
1,33509,minimal,no,some,yes
0,47610,extensive,yes,some,yes
1,19556,minimal,yes,some,yes
1,20244,minimal,yes,some,no
0,16229,minimal,yes,none,no
0,16799,minimal,yes,none,yes
1,19600,minimal,yes,many,no
0,13282,moderate,no,some,yes
1,9205,moderate,yes,many,yes
0,26230,extensive,yes,many,yes
1,42331,extensive,yes,none,yes
0,16767,extensive,yes,some,yes
0,18357,extensive,yes,some,yes
0,34854,extensive,yes,some,yes
1,20311,minimal,no,some,yes
0,23480,extensive,no,none,no
0,55642,moderate,no,none,no
1,64200,extensive,yes,some,no
1,36537,minimal,yes,some,yes
1,19436,moderate,yes,some,no
1,30557,minimal,yes,some,no
0,19135,extensive,yes,none,yes
1,68962,moderate,yes,none,yes
1,33404,minimal,no,some,no
0,12737,minimal,yes,some,no
1,38198,extensive,no,none,yes
1,24526,minimal,yes,none,no
1,34141,extensive,no,many,yes
1,4611,moderate,yes,many,no
1,29309,minimal,yes,none,no
1,27338,minimal,yes,some,no
0,16672,minimal,yes,some,no
1,68407,minimal,yes,none,no
1,18096,minimal,no,many,no
1,24460,minimal,yes,none,yes
0,21426,minimal,yes,some,no
1,22210,extensive,yes,many,yes
0,23935,minimal,yes,some,yes
0,7689,moderate,yes,none,no
1,21897,minimal,yes,many,no
1,38733,moderate,yes,some,no
0,51481,extensive,no,many,yes
1,11892,minimal,yes,none,yes
0,14809,extensive,yes,none,yes
1,46107,minimal,yes,none,no
1,25875,extensive,yes,some,no
0,18333,extensive,yes,none,yes
0,25691,extensive,yes,some,no
1,55631,moderate,yes,none,yes
0,26170,moderate,no,some,no
1,22516,moderate,no,many,yes
0,29755,extensive,yes,some,yes
0,55533,extensive,yes,none,yes
1,73055,minimal,yes,many,no
0,6390,minimal,yes,many,no
0,28918,extensive,yes,some,yes
1,39517,minimal,no,many,no
0,33888,moderate,no,none,yes
0,14083,minimal,no,some,no
1,49428,minimal,no,none,no
0,29533,extensive,yes,none,no
0,23765,minimal,no,none,no
0,21149,moderate,yes,some,no
1,40862,minimal,no,many,no
0,35439,extensive,yes,none,yes
1,20274,minimal,yes,some,yes
0,22752,extensive,yes,some,no
1,46615,minimal,yes,many,yes
0,34193,moderate,yes,none,yes
1,15890,moderate,no,many,no
1,41385,minimal,yes,some,no
1,20024,moderate,yes,some,no
1,29219,minimal,yes,some,no
0,9087,extensive,yes,none,yes
0,16986,minimal,yes,some,no
0,30046,extensive,yes,none,yes
1,43807,extensive,yes,none,yes
0,20106,moderate,no,some,yes
0,16555,moderate,yes,many,yes
1,17247,moderate,no,none,no
0,18502,minimal,yes,some,no
1,31911,minimal,no,many,no
1,43331,moderate,yes,some,yes
0,18928,extensive,no,some,yes
0,19279,moderate,yes,some,yes
0,30064,moderate,no,some,no
0,5844,minimal,no,some,no
1,21043,minimal,no,some,no
0,25756,moderate,yes,none,no
0,22050,minimal,yes,none,no
0,21277,extensive,yes,many,no
0,10969,moderate,no,some,yes
0,59903,extensive,yes,some,no
1,23200,moderate,no,many,yes
0,21470,extensive,no,some,yes
1,59166,minimal,yes,some,no
1,27927,minimal,no,many,yes
0,30763,moderate,no,some,no
0,9121,extensive,yes,some,yes
1,45221,minimal,no,some,no
1,15764,minimal,no,some,no
0,24039,moderate,yes,some,no
1,39335,moderate,no,some,yes
0,39080,extensive,no,some,yes
1,68405,extensive,no,some,no
1,38679,minimal,yes,some,no
1,26006,extensive,yes,some,no
0,16669,minimal,yes,some,no
0,25402,extensive,yes,none,yes
0,9292,minimal,no,none,no
1,41980,extensive,no,some,no
1,56368,minimal,yes,many,yes
0,34722,moderate,yes,some,yes
1,60322,minimal,yes,none,no
1,69483,moderate,yes,some,yes
1,25314,extensive,yes,many,no
0,22691,extensive,yes,some,no
0,55384,extensive,yes,some,no
0,3090,extensive,yes,none,yes
0,23874,extensive,yes,many,yes
1,24927,minimal,yes,some,no
1,50376,extensive,yes,some,yes
0,23789,moderate,no,some,no
0,39453,moderate,yes,some,no
1,25634,moderate,no,none,yes
1,72048,moderate,no,none,yes
1,34905,moderate,yes,some,yes
1,27199,moderate,no,many,yes
0,5241,moderate,no,none,yes
1,41657,minimal,no,some,yes
1,42196,minimal,no,none,yes
0,43186,extensive,yes,none,yes
1,28560,extensive,yes,some,no
1,27059,minimal,yes,none,no
1,36005,extensive,no,some,yes
0,29989,extensive,no,none,yes
0,21456,extensive,no,many,yes
1,10803,minimal,yes,many,no
0,20176,minimal,yes,none,no
0,16035,extensive,yes,many,yes
0,22361,extensive,yes,some,yes
1,51835,moderate,yes,some,yes
1,53236,minimal,yes,many,yes
0,14921,extensive,yes,none,no
0,10471,extensive,no,many,no
0,12283,extensive,no,some,no
0,34662,extensive,yes,some,yes
0,40756,extensive,yes,some,yes
1,29680,moderate,yes,none,yes
1,19597,minimal,yes,some,no
1,45910,extensive,yes,some,yes
0,51010,extensive,yes,many,yes
0,34030,extensive,no,some,yes
0,27822,moderate,yes,none,yes
1,44733,minimal,yes,none,no
1,33369,minimal,yes,some,no
0,45483,moderate,yes,none,yes
1,34235,extensive,no,some,yes
1,37559,minimal,yes,none,no
1,31805,minimal,yes,some,yes
1,45785,moderate,no,none,no
1,38654,extensive,yes,some,yes
0,20504,moderate,yes,many,yes
0,43644,extensive,yes,some,yes
0,28248,extensive,no,some,no
0,40089,extensive,no,some,yes
1,12116,minimal,no,none,yes
1,48075,minimal,yes,none,no
1,49988,moderate,yes,many,yes
0,17364,minimal,yes,none,no
1,38964,moderate,yes,some,no
0,8297,moderate,no,some,no
1,61831,extensive,no,some,yes
1,32053,moderate,yes,some,yes
1,39987,minimal,no,some,no
0,26341,minimal,yes,none,no
1,28412,moderate,no,none,no
1,15841,extensive,yes,many,yes
0,9145,extensive,yes,some,yes
1,19776,moderate,yes,many,no
1,46077,minimal,yes,none,yes
1,33374,minimal,yes,none,no
0,10220,extensive,yes,some,no
0,27904,extensive,no,some,yes
0,34396,moderate,no,some,yes
1,24814,extensive,yes,many,yes
0,19313,extensive,yes,none,yes
0,18405,extensive,no,many,yes
0,31745,minimal,no,some,no
0,43476,minimal,no,many,no
0,28018,minimal,yes,some,no
1,44048,minimal,no,some,no
0,49289,extensive,yes,none,yes
0,26248,extensive,yes,none,yes
0,8228,moderate,yes,some,yes
1,55696,extensive,yes,some,yes
0,18564,minimal,yes,many,no
1,21713,minimal,yes,some,no
1,42565,minimal,no,none,no
1,56264,extensive,yes,many,yes
1,56727,extensive,yes,some,no
1,53518,minimal,no,none,no
0,14091,moderate,yes,some,yes
1,38331,extensive,yes,many,no
1,32837,moderate,yes,none,no
0,46852,moderate,yes,none,yes
0,29957,extensive,no,none,yes
0,35750,extensive,yes,none,yes
1,30181,minimal,yes,none,no
1,7787,moderate,yes,some,no
0,10160,minimal,yes,some,no
0,24553,extensive,yes,none,yes
0,19572,moderate,no,some,no
0,31502,extensive,yes,some,yes
0,33047,extensive,no,some,no
1,44149,moderate,yes,many,yes
1,18520,moderate,yes,some,yes
0,14288,minimal,yes,none,no
0,19049,extensive,yes,many,yes
1,59114,minimal,yes,some,no
1,35900,minimal,yes,none,no
0,24544,moderate,yes,some,yes
1,17925,moderate,no,none,yes
0,25505,moderate,no,none,yes
1,22053,moderate,yes,many,no
0,17976,moderate,no,some,no
0,22711,extensive,no,some,no
1,21655,minimal,yes,many,no
1,54434,minimal,yes,some,yes
1,49814,minimal,no,none,no
0,7053,extensive,no,none,no
0,36220,extensive,yes,some,yes
0,27994,moderate,yes,none,yes
0,28278,moderate,yes,some,no
1,59404,minimal,yes,some,yes
0,37947,extensive,no,some,yes
1,32484,moderate,yes,many,no
0,24943,extensive,yes,none,no
0,25496,extensive,yes,some,yes
0,8641,moderate,no,many,yes
0,13032,moderate,no,some,yes
0,40092,moderate,yes,some,yes
0,7291,extensive,no,many,no
1,35424,minimal,yes,many,yes
0,51413,minimal,no,some,no
0,27146,moderate,yes,some,no
1,12289,moderate,yes,none,yes
0,33329,minimal,yes,some,no
0,8059,minimal,yes,some,yes
1,40617,minimal,yes,some,no
0,13950,minimal,no,some,yes
0,38663,extensive,no,none,yes
0,32189,extensive,no,some,yes
0,17369,extensive,yes,many,yes
1,39378,minimal,no,some,no
1,52060,moderate,yes,none,yes
0,48011,extensive,no,none,yes
1,38799,minimal,yes,some,no
1,66003,moderate,yes,some,yes
0,32337,extensive,yes,some,yes
0,21524,extensive,yes,some,no
0,25999,extensive,no,many,yes
0,37643,minimal,yes,some,no
1,38510,minimal,yes,many,no
0,8976,extensive,yes,none,no
1,29097,extensive,yes,some,yes
0,27940,extensive,yes,many,yes
0,49945,minimal,no,some,no
1,27233,moderate,yes,many,yes
0,52279,moderate,yes,some,no
0,11812,minimal,no,some,no
0,7441,minimal,yes,none,no
0,22499,extensive,yes,many,yes
1,45679,moderate,yes,many,yes
1,44595,extensive,no,some,yes
0,20866,moderate,yes,none,yes
0,41984,moderate,yes,none,yes
0,15350,moderate,yes,some,yes
0,7014,minimal,yes,none,no
1,39249,minimal,yes,none,no
0,8865,extensive,yes,some,no
1,20336,minimal,no,some,no
0,10146,extensive,no,many,yes
1,71513,moderate,yes,none,yes
1,25695,moderate,no,none,no
1,37471,moderate,no,some,no
1,40320,minimal,yes,some,no
0,35716,moderate,yes,some,yes
0,22885,moderate,yes,some,no
0,13120,extensive,yes,some,yes
0,26872,moderate,yes,some,no
1,48740,extensive,no,some,yes
1,45338,moderate,no,some,no
1,31261,extensive,yes,many,yes
1,31405,minimal,no,many,yes
1,34424,moderate,no,none,yes
0,42247,moderate,no,none,yes
1,9453,minimal,yes,many,no
0,46548,moderate,yes,some,yes
1,21016,minimal,no,some,no
0,29712,extensive,yes,many,yes
0,38117,extensive,no,some,yes
1,47287,extensive,yes,none,no
0,15985,moderate,no,some,no
0,16577,moderate,yes,some,yes
1,36093,minimal,yes,none,yes
1,60927,moderate,no,none,no
1,4206,minimal,yes,many,yes
1,46761,minimal,yes,many,no
0,25423,moderate,yes,many,no
1,73094,minimal,yes,some,no
0,4156,extensive,yes,none,no
1,40847,moderate,yes,many,yes
1,37212,minimal,yes,some,no
0,7203,moderate,yes,some,no
1,45518,extensive,no,many,yes
0,21108,extensive,no,some,no
1,30376,moderate,yes,many,yes
1,31046,minimal,no,some,yes
0,33649,minimal,yes,some,no
1,23148,minimal,no,many,yes
1,61078,moderate,no,some,yes
0,20425,extensive,yes,none,yes
1,19150,minimal,no,some,no
1,57330,moderate,yes,none,yes
1,28491,moderate,yes,some,yes
1,32355,minimal,no,many,no
0,22573,minimal,no,none,no
0,44997,moderate,no,none,no
1,44225,minimal,yes,some,no
0,41628,minimal,yes,some,no
0,43042,extensive,no,none,yes
0,22875,extensive,no,none,yes
1,13545,moderate,no,none,yes
0,30511,extensive,yes,none,yes
0,20847,extensive,no,some,yes
1,31530,moderate,yes,some,yes
1,54992,moderate,no,many,no
0,20710,extensive,yes,none,yes
0,36142,moderate,yes,some,yes
0,19231,extensive,no,some,yes
1,27229,minimal,no,none,no
0,34369,minimal,no,some,no
1,24464,moderate,yes,many,yes
0,44478,extensive,yes,some,no
0,27441,minimal,no,some,no
1,80090,minimal,yes,some,no
0,29649,extensive,yes,none,yes
0,21204,moderate,yes,none,no
0,18007,moderate,yes,some,yes
0,18659,extensive,yes,some,yes
0,29319,moderate,yes,some,no
0,32782,minimal,yes,none,no
1,26874,minimal,yes,some,no
0,39639,extensive,yes,some,no
1,61060,extensive,yes,none,yes
0,37525,extensive,yes,none,yes
1,52720,moderate,no,none,no
1,16045,moderate,yes,none,no
0,25135,moderate,yes,none,yes
1,55559,moderate,yes,many,yes
0,15122,moderate,no,none,yes
0,17549,extensive,yes,none,yes
0,13688,extensive,yes,many,yes
0,27411,extensive,yes,some,yes
1,53448,minimal,yes,some,no
0,26594,extensive,yes,many,yes
1,55337,moderate,no,none,no
1,55567,moderate,no,many,no
0,31082,minimal,yes,some,yes
1,39072,moderate,yes,none,yes
1,10555,minimal,yes,some,no
0,37303,minimal,yes,some,yes
0,32472,extensive,no,none,no
0,28276,minimal,no,none,no
0,22380,moderate,yes,some,no
1,32277,moderate,yes,many,yes
0,9393,extensive,yes,some,no
1,35652,minimal,yes,none,no
1,36728,extensive,no,many,yes
0,36428,moderate,yes,none,no
0,32184,extensive,yes,some,yes
0,6768,extensive,no,some,yes
0,31545,extensive,yes,none,no
1,42311,moderate,yes,some,no
0,26038,extensive,yes,some,yes
1,61334,minimal,no,some,yes
1,26828,minimal,no,none,yes
1,76385,minimal,no,some,no
1,59879,extensive,no,many,no
1,29845,moderate,yes,some,yes
0,12924,minimal,yes,some,no
0,14254,moderate,yes,none,yes
0,21914,moderate,yes,some,yes
0,26409,minimal,yes,some,no
0,2996,moderate,yes,none,no
0,17245,moderate,yes,some,no
1,36548,moderate,no,some,no
0,23723,extensive,no,some,yes
0,15694,minimal,no,some,yes
0,35343,extensive,no,many,no
1,44077,minimal,yes,some,no
1,45180,minimal,no,many,yes
0,25907,moderate,no,none,no
0,39823,moderate,yes,some,yes
1,26615,minimal,no,many,no
1,56642,minimal,yes,none,no
1,28931,minimal,no,some,no
1,47215,extensive,no,some,no
0,5473,moderate,no,some,yes
0,40605,moderate,yes,none,yes
1,28989,minimal,yes,some,no
0,21558,extensive,no,none,yes
0,17855,extensive,no,some,yes
0,22823,extensive,yes,none,yes
1,45973,moderate,yes,many,no
1,35585,moderate,no,some,no
0,43740,moderate,no,some,yes
0,25663,extensive,yes,none,no
1,11535,minimal,yes,none,no
0,22450,extensive,yes,some,no
1,29524,extensive,no,many,yes
0,10907,minimal,yes,some,yes
1,18181,extensive,no,many,no
0,24344,minimal,yes,many,no
1,64651,minimal,yes,many,no
0,44582,minimal,no,none,no
0,38984,moderate,yes,some,yes
1,23105,minimal,no,some,yes
1,30851,extensive,no,many,yes
0,15558,moderate,yes,some,no
0,31102,extensive,yes,some,yes
1,36023,moderate,no,many,yes
1,42306,extensive,yes,some,yes
1,23288,moderate,yes,some,no
0,16080,extensive,no,some,yes
0,34968,extensive,no,none,no
0,18045,extensive,yes,some,yes
1,52191,moderate,no,some,yes
1,43283,extensive,yes,many,yes
1,27822,moderate,no,some,no
0,43618,extensive,yes,some,yes
0,12416,minimal,yes,some,no
0,8222,extensive,no,none,yes
1,22024,moderate,no,many,no
0,15819,minimal,yes,some,no
1,57824,extensive,yes,many,yes
0,31524,moderate,yes,none,yes
0,22648,extensive,yes,some,no
0,20740,extensive,yes,none,yes
1,29762,minimal,yes,none,no
0,16595,extensive,yes,none,yes
0,19550,extensive,yes,some,yes
1,14827,minimal,no,some,no
1,13357,moderate,no,some,no
0,51691,extensive,yes,some,yes
1,21814,moderate,no,none,no
1,80498,minimal,yes,some,yes
1,25602,minimal,no,none,no
1,34287,extensive,yes,many,no
1,64535,minimal,yes,none,no
0,17724,moderate,yes,some,yes
1,10839,minimal,no,none,no
1,21785,moderate,yes,some,no
0,27648,minimal,yes,some,yes
1,22991,minimal,no,none,no
0,8230,extensive,no,some,yes
0,24026,extensive,no,none,yes
1,8403,moderate,yes,many,no
1,31482,moderate,yes,some,yes
1,26905,minimal,yes,none,no
0,26644,extensive,yes,some,yes
1,22561,minimal,no,none,yes
0,9290,extensive,yes,some,no
1,14253,moderate,no,many,yes
1,40051,minimal,no,none,no
1,50600,extensive,yes,some,yes
1,32366,moderate,yes,some,yes
0,43706,extensive,yes,none,yes
1,39201,minimal,yes,some,no
0,15235,minimal,yes,none,yes
0,14437,minimal,no,some,yes
0,3755,minimal,no,many,no
0,43704,extensive,no,many,yes
0,36743,moderate,yes,none,yes
0,27115,moderate,no,some,yes
0,15214,extensive,no,none,yes
0,75388,extensive,yes,none,yes
0,21653,extensive,yes,some,yes
0,13667,moderate,yes,none,no
0,11627,moderate,no,some,no
0,25459,extensive,yes,none,yes
0,55632,extensive,no,many,yes
1,54934,extensive,yes,many,yes
1,44786,extensive,yes,many,yes
0,50620,extensive,no,some,yes
0,19464,extensive,yes,none,yes
0,22117,extensive,yes,some,yes
1,11074,moderate,yes,many,no
0,17381,moderate,yes,some,yes
0,66512,extensive,yes,some,yes
1,38459,minimal,yes,none,no
0,40516,minimal,no,some,no
0,18967,moderate,yes,some,no
1,68153,minimal,no,none,no
0,32630,extensive,yes,some,yes
1,19529,minimal,yes,none,no
0,55999,moderate,no,some,no
0,33992,extensive,no,some,yes
0,50828,moderate,yes,none,no
0,13648,moderate,yes,none,yes
1,42506,minimal,no,many,no
1,13584,minimal,no,many,no
1,27166,minimal,no,some,yes
1,14841,moderate,no,some,no
0,34388,minimal,no,some,no
0,31288,extensive,yes,none,yes
1,30448,minimal,yes,some,no
1,58738,minimal,yes,some,no
0,21886,moderate,yes,some,no
1,17705,minimal,yes,some,no
1,13180,moderate,yes,some,no
1,47725,minimal,yes,none,yes
1,15655,extensive,no,some,no
0,19729,moderate,no,many,no
0,7204,extensive,yes,some,yes
1,53385,extensive,no,some,no
0,14354,moderate,yes,none,yes
0,19901,extensive,yes,none,yes
0,37599,extensive,no,some,yes
1,52541,extensive,yes,many,yes
0,32173,extensive,no,some,yes
0,14658,minimal,yes,some,yes
1,34857,moderate,yes,many,yes
0,30618,moderate,yes,some,yes
1,14196,minimal,yes,none,yes
0,49953,minimal,yes,many,no
0,12278,moderate,yes,some,yes
0,32984,moderate,no,some,yes
1,54440,extensive,yes,many,yes
1,51224,minimal,no,some,no
0,43893,extensive,no,some,yes
1,16535,minimal,yes,many,no
1,34926,moderate,yes,some,yes
1,36797,minimal,yes,some,yes
0,7447,minimal,yes,some,no
1,38664,extensive,no,some,no
0,29452,moderate,yes,none,yes
1,26563,minimal,yes,none,yes
0,3530,minimal,no,some,no
0,67484,extensive,yes,none,yes
0,25486,minimal,yes,some,no
1,62293,moderate,yes,none,yes
1,9663,minimal,yes,some,no
0,5736,extensive,yes,many,yes
0,8760,extensive,yes,many,yes
1,58088,extensive,yes,some,no
0,19063,minimal,yes,none,no
0,18434,extensive,yes,some,yes
1,58104,extensive,no,some,yes
1,26736,moderate,yes,many,yes
0,8169,moderate,yes,many,yes
1,28891,minimal,yes,many,yes
0,37132,extensive,no,some,no
0,56602,extensive,no,some,yes
0,54341,extensive,yes,some,yes
0,9216,moderate,yes,some,no
1,39662,moderate,yes,none,yes
0,19609,extensive,yes,none,yes
0,27796,extensive,no,some,yes
1,73708,minimal,yes,many,no
0,11026,extensive,yes,none,yes
1,67177,moderate,yes,some,no
0,14707,extensive,yes,none,yes
0,41331,extensive,yes,some,no
1,67615,extensive,yes,some,yes
1,52117,extensive,yes,none,yes
1,13714,minimal,no,some,no
0,17646,extensive,no,some,yes
1,36522,moderate,yes,none,yes
0,47470,moderate,yes,none,yes
0,17298,minimal,yes,none,no
0,10499,moderate,yes,some,no
1,24510,minimal,yes,many,no
0,16623,minimal,yes,some,no
0,14731,extensive,yes,none,yes
1,25742,moderate,no,some,no
1,35352,minimal,yes,many,no
0,16355,minimal,yes,some,no
1,36828,minimal,yes,some,no
0,15981,moderate,yes,none,yes
1,49163,extensive,yes,none,yes
0,12871,minimal,yes,some,no
1,67582,extensive,yes,some,yes
0,35945,extensive,yes,none,yes
0,18428,extensive,yes,none,yes
0,45218,extensive,no,none,yes
0,46346,moderate,no,some,yes
1,32082,minimal,yes,some,yes
1,20938,moderate,yes,none,no
0,19296,minimal,yes,some,no
0,39533,moderate,yes,some,no
1,18222,moderate,yes,many,yes
0,23528,minimal,yes,some,no
0,28640,moderate,yes,none,no
1,47749,extensive,yes,many,yes
0,14580,minimal,no,none,no
1,36991,minimal,yes,many,no
0,17697,moderate,yes,none,yes
1,31437,extensive,no,none,yes
0,37287,extensive,no,some,yes
1,52789,moderate,no,some,no
0,15757,moderate,yes,some,no
0,22386,moderate,no,none,no
1,53290,moderate,no,some,yes
0,19416,extensive,yes,none,yes
0,34116,minimal,yes,none,no
1,35668,moderate,yes,none,yes
1,61895,minimal,no,none,no
0,47271,extensive,yes,some,yes
1,9823,extensive,yes,some,yes
0,41035,moderate,no,some,no
0,27399,extensive,yes,none,yes
0,9588,extensive,no,none,yes
1,20015,moderate,yes,none,yes
0,20569,extensive,no,some,yes
0,18994,extensive,yes,none,yes
1,28361,minimal,yes,many,no
0,13200,moderate,yes,many,yes
0,38818,minimal,no,some,no
1,10752,moderate,yes,some,no
0,19643,minimal,yes,some,no
1,54411,moderate,no,none,no
0,42463,extensive,no,none,yes
1,34492,minimal,yes,many,yes
1,15729,minimal,no,none,no
1,19330,minimal,yes,some,no
0,29746,extensive,no,none,yes
0,17796,extensive,no,some,yes
1,63885,minimal,yes,none,no
0,41719,moderate,no,many,no
0,47696,extensive,yes,many,yes
1,37413,moderate,yes,none,no
0,17069,moderate,yes,none,no
0,8690,extensive,yes,some,yes
0,13175,extensive,no,some,yes
1,36773,minimal,yes,none,no
