FError,LOC,XP,foosball,Partays,B$+
1,56623,minimal,yes,some,no
0,24751,minimal,yes,none,no
0,15595,extensive,yes,some,no
0,24487,extensive,yes,some,yes
0,15817,minimal,no,many,yes
0,19404,extensive,yes,some,yes
1,41911,minimal,no,many,no
0,61486,extensive,no,some,yes
0,9766,extensive,yes,some,yes
0,21539,extensive,yes,some,yes
1,36669,minimal,no,many,no
0,27303,extensive,yes,some,no
1,24344,minimal,no,many,yes
0,24450,moderate,no,some,no
0,57136,extensive,yes,none,yes
1,32784,minimal,no,none,yes
1,34585,moderate,yes,some,yes
1,74755,moderate,yes,some,no
1,10402,minimal,no,some,no
0,7583,moderate,no,some,yes
0,30675,extensive,yes,some,yes
0,35129,moderate,no,none,no
0,39292,minimal,no,some,no
1,8949,moderate,yes,some,yes
1,17848,extensive,yes,some,yes
0,25728,extensive,no,none,yes
0,23178,moderate,yes,none,yes
1,11678,minimal,yes,some,no
1,56530,moderate,no,some,yes
1,22698,extensive,no,many,no
0,10225,extensive,no,some,yes
0,24346,minimal,no,none,no
0,6979,extensive,no,some,yes
0,50930,extensive,yes,none,yes
0,42357,moderate,yes,none,no
0,48567,extensive,no,some,no
0,18301,moderate,no,none,no
1,27348,minimal,yes,some,no
1,44763,moderate,no,many,yes
0,37307,extensive,yes,none,yes
0,19366,extensive,yes,none,yes
1,29718,minimal,yes,many,no
1,74822,extensive,yes,some,no
1,30033,minimal,yes,none,no
0,28781,extensive,yes,none,yes
1,26732,minimal,no,many,no
0,32610,moderate,no,none,no
1,46920,minimal,yes,some,yes
0,23805,minimal,yes,none,no
1,13394,minimal,yes,some,yes
0,4284,moderate,yes,some,no
1,49538,moderate,yes,many,no
0,33238,moderate,no,some,yes
1,28021,minimal,no,some,no
0,19057,moderate,yes,none,no
1,19015,minimal,yes,many,no
0,34349,extensive,yes,some,yes
0,38670,moderate,yes,some,yes
0,12255,extensive,no,some,no
0,6809,extensive,yes,many,yes
1,28053,minimal,no,many,no
0,6920,extensive,no,none,yes
0,44248,moderate,no,some,no
0,24212,minimal,yes,some,no
1,37580,moderate,no,some,no
1,26932,minimal,yes,many,no
0,17672,minimal,yes,some,no
0,25286,extensive,no,none,yes
1,34889,minimal,no,none,no
1,55808,minimal,yes,some,no
0,13501,moderate,yes,none,yes
0,32898,extensive,yes,many,yes
0,4637,extensive,yes,some,yes
1,66932,extensive,yes,many,no
0,13657,extensive,yes,some,yes
0,24855,extensive,no,some,no
0,22947,moderate,yes,some,no
0,5709,moderate,no,none,yes
1,33289,moderate,no,none,yes
0,10157,minimal,yes,some,yes
0,22430,extensive,yes,some,yes
1,19552,extensive,yes,some,yes
0,25861,minimal,yes,some,no
1,23649,minimal,yes,none,no
1,33957,moderate,yes,none,no
1,33910,minimal,yes,some,yes
1,63058,minimal,yes,none,no
0,10232,extensive,yes,none,yes
1,50680,extensive,yes,none,no
0,29100,minimal,yes,some,yes
0,32487,moderate,no,some,yes
1,15135,minimal,no,none,yes
1,46299,extensive,yes,many,yes
1,9201,minimal,no,none,no
1,38170,minimal,no,none,yes
0,24054,moderate,no,some,yes
1,58835,minimal,no,some,no
0,28921,extensive,yes,some,yes
0,30678,minimal,yes,some,no
1,60080,extensive,yes,none,yes
1,38484,extensive,yes,many,yes
1,42733,moderate,no,some,yes
0,15035,extensive,yes,none,yes
1,20577,minimal,yes,many,yes
1,57836,extensive,no,some,no
1,52397,minimal,no,many,no
1,19888,moderate,yes,some,no
0,37277,extensive,no,none,yes
1,35082,minimal,yes,many,no
0,12858,extensive,no,none,yes
0,13813,moderate,no,none,yes
0,20810,minimal,yes,some,no
1,13728,extensive,yes,many,no
1,32426,minimal,no,some,no
0,16157,extensive,yes,none,yes
0,31350,extensive,yes,some,yes
0,33563,extensive,no,some,yes
0,25298,extensive,yes,many,no
0,26266,moderate,no,some,yes
0,21977,extensive,no,many,yes
0,25520,minimal,yes,some,yes
0,10725,extensive,no,none,no
1,38981,moderate,yes,many,yes
0,9295,extensive,yes,none,yes
1,45454,minimal,no,none,yes
1,12732,extensive,yes,some,no
0,37408,moderate,yes,some,yes
1,40874,minimal,no,none,no
0,17277,minimal,yes,some,no
1,7159,minimal,no,none,no
0,52975,extensive,no,none,yes
0,12274,minimal,yes,some,no
1,27732,moderate,no,some,no
0,26436,moderate,no,many,yes
0,19280,moderate,yes,none,no
0,10493,extensive,no,some,yes
0,24725,moderate,yes,some,no
0,27465,extensive,yes,many,yes
0,34543,minimal,yes,some,no
1,36023,minimal,no,some,no
0,20972,minimal,no,some,no
1,34850,minimal,no,many,no
0,18736,minimal,yes,some,no
0,15183,extensive,no,none,yes
1,53023,moderate,no,many,yes
1,36120,minimal,no,some,no
1,50124,minimal,yes,none,no
1,28162,minimal,no,none,no
1,46532,moderate,yes,many,no
1,60268,moderate,yes,none,no
1,69546,moderate,no,some,no
0,15334,moderate,yes,some,no
0,15660,extensive,no,some,yes
0,6074,moderate,no,some,yes
0,15185,minimal,yes,some,no
1,45409,moderate,yes,many,yes
0,46962,minimal,no,many,no
1,15840,minimal,no,many,no
0,12951,minimal,yes,none,yes
0,23037,extensive,yes,some,yes
1,56820,extensive,yes,none,yes
0,26813,moderate,no,none,yes
0,39162,moderate,no,some,yes
1,38754,minimal,yes,some,no
1,15688,minimal,no,some,yes
0,16100,moderate,no,none,yes
0,35508,extensive,yes,some,no
0,28425,minimal,yes,some,no
0,13258,extensive,no,some,yes
0,12935,minimal,yes,some,no
1,11007,minimal,yes,many,no
1,35147,minimal,yes,some,no
1,25738,moderate,yes,none,yes
1,23006,minimal,no,none,yes
1,42961,moderate,yes,some,no
1,15237,moderate,no,none,no
1,46708,extensive,yes,none,yes
0,29654,extensive,yes,some,yes
0,32889,moderate,no,some,no
1,87972,minimal,no,none,yes
0,24803,moderate,no,some,no
0,14457,moderate,no,none,yes
0,26901,extensive,yes,none,no
1,51025,minimal,yes,none,no
0,34332,extensive,yes,none,no
1,62590,moderate,yes,many,yes
0,26556,moderate,yes,some,yes
1,31403,moderate,yes,some,no
1,43262,minimal,yes,none,no
1,35383,minimal,no,none,no
0,5619,minimal,yes,many,no
0,37209,moderate,no,some,yes
0,18128,extensive,no,some,yes
0,6557,minimal,yes,none,no
0,25361,extensive,yes,some,no
0,26341,extensive,no,some,yes
1,24312,minimal,no,many,no
1,61014,moderate,yes,some,yes
0,11516,moderate,no,some,no
0,31647,extensive,yes,some,yes
0,33055,extensive,yes,some,yes
0,52197,extensive,yes,some,yes
1,36169,minimal,no,some,no
0,3458,minimal,yes,none,no
0,19692,moderate,yes,some,no
0,18769,moderate,no,some,no
1,27210,moderate,yes,some,yes
0,55889,moderate,no,many,yes
1,17893,extensive,yes,many,yes
0,7999,moderate,yes,some,no
1,42349,minimal,no,some,yes
0,43022,moderate,yes,none,no
0,32306,moderate,no,none,no
0,7633,extensive,yes,none,no
0,30787,extensive,no,some,yes
0,21596,extensive,yes,some,no
0,45448,extensive,yes,some,yes
1,17720,minimal,yes,some,no
0,30755,moderate,no,some,yes
1,31220,minimal,no,many,yes
0,49091,moderate,yes,none,no
1,42100,extensive,yes,some,no
0,46736,extensive,yes,none,no
1,41669,minimal,yes,some,no
0,18193,extensive,no,none,yes
1,23473,moderate,yes,many,no
1,33068,moderate,yes,many,no
1,14640,moderate,no,some,no
0,10796,minimal,yes,none,no
0,9799,extensive,yes,many,yes
1,69099,extensive,no,many,no
1,40515,minimal,yes,some,yes
1,14949,minimal,no,none,no
1,24388,minimal,yes,some,no
0,16509,extensive,yes,none,yes
1,19642,extensive,yes,some,no
1,46288,moderate,yes,some,no
0,27606,moderate,yes,some,yes
1,31038,extensive,no,some,yes
1,28630,minimal,yes,many,no
0,23278,extensive,no,none,yes
1,51652,moderate,no,none,no
0,24913,extensive,yes,none,yes
0,34433,moderate,no,none,yes
0,39622,extensive,yes,some,yes
0,37427,moderate,yes,some,yes
1,32410,minimal,yes,some,no
1,19228,moderate,yes,many,yes
0,31077,moderate,yes,many,no
0,33328,moderate,no,some,yes
0,11719,minimal,yes,none,no
1,27002,minimal,yes,none,no
0,33517,moderate,no,many,yes
1,18725,extensive,no,none,yes
1,51244,minimal,yes,some,no
1,61165,minimal,yes,some,no
0,11205,moderate,yes,some,no
1,41891,minimal,yes,many,yes
0,44160,moderate,no,some,no
1,17743,extensive,no,some,no
1,16782,moderate,yes,none,yes
1,40389,extensive,yes,many,no
0,43459,extensive,yes,some,yes
1,24763,minimal,no,some,yes
1,67425,moderate,yes,some,yes
0,56095,moderate,no,none,no
1,41174,moderate,yes,some,yes
1,41733,minimal,yes,some,no
0,13396,moderate,no,some,no
1,42546,moderate,no,many,yes
0,35475,extensive,yes,many,no
1,31655,minimal,yes,some,yes
0,62498,extensive,yes,some,yes
0,21803,extensive,yes,many,yes
0,14915,extensive,yes,some,no
0,17824,extensive,yes,many,no
1,21123,minimal,yes,none,yes
0,4500,moderate,yes,none,yes
1,31686,minimal,no,some,yes
1,63484,minimal,yes,none,no
0,26094,minimal,no,some,no
0,10525,moderate,yes,some,no
0,18535,extensive,no,none,yes
1,29548,minimal,no,none,no
1,36084,moderate,no,many,yes
1,54035,extensive,yes,some,yes
0,22469,extensive,yes,none,no
0,10010,extensive,yes,some,no
1,15453,moderate,no,many,no
0,20362,moderate,yes,some,yes
1,11030,minimal,yes,some,no
0,29265,extensive,no,some,yes
1,22136,moderate,yes,many,yes
0,28492,moderate,yes,none,no
0,25284,extensive,no,none,yes
0,22443,minimal,no,none,no
1,38852,moderate,yes,none,no
1,45724,minimal,yes,some,no
1,24946,extensive,yes,some,yes
0,16494,moderate,yes,some,no
0,53747,minimal,no,some,no
1,58805,extensive,yes,none,yes
0,32448,extensive,yes,none,yes
0,44517,extensive,no,some,yes
0,61669,extensive,yes,some,yes
1,24875,minimal,no,many,yes
0,16425,extensive,no,some,yes
0,20216,moderate,yes,many,no
0,18092,extensive,yes,some,yes
1,24474,moderate,yes,some,no
0,35781,extensive,yes,some,yes
0,25878,extensive,no,some,yes
0,4939,minimal,yes,some,no
0,32240,extensive,yes,none,no
0,3915,extensive,no,many,yes
1,41310,minimal,no,many,no
0,35967,moderate,yes,some,yes
0,10733,minimal,yes,none,no
1,49346,minimal,no,some,no
0,44533,extensive,no,none,yes
1,64166,extensive,no,many,yes
0,22302,extensive,no,some,yes
1,16822,minimal,no,some,yes
0,29304,extensive,yes,some,yes
1,33269,moderate,no,none,yes
0,18469,moderate,no,some,yes
1,24299,minimal,no,many,no
0,22401,moderate,no,none,no
0,25298,extensive,yes,some,yes
0,11692,moderate,no,none,yes
0,50009,extensive,no,some,no
1,60829,minimal,yes,none,yes
1,24168,minimal,yes,some,no
0,34229,extensive,yes,none,no
1,24855,extensive,yes,some,yes
1,15559,moderate,no,none,no
1,28981,moderate,yes,some,no
0,12412,minimal,no,none,no
1,37789,moderate,yes,none,yes
0,17751,extensive,yes,many,yes
1,22425,moderate,yes,some,yes
1,35177,moderate,no,many,yes
1,45789,minimal,yes,many,yes
1,47543,minimal,yes,many,no
0,17086,extensive,yes,some,yes
1,17438,moderate,yes,many,no
0,19372,moderate,yes,some,yes
1,26778,minimal,yes,many,no
1,43155,moderate,yes,some,no
1,49989,moderate,yes,some,yes
1,40766,moderate,no,many,no
1,14941,moderate,yes,many,no
1,40562,extensive,yes,none,no
1,35163,moderate,yes,some,yes
0,26626,extensive,yes,some,yes
0,18535,moderate,yes,some,yes
0,18690,moderate,yes,some,yes
0,7199,extensive,yes,none,yes
1,64590,moderate,yes,some,yes
1,68458,minimal,yes,none,no
1,31135,moderate,no,some,yes
0,58945,minimal,yes,none,no
1,42939,minimal,yes,some,yes
0,38437,extensive,yes,some,yes
1,46465,extensive,yes,none,no
0,10082,moderate,yes,none,no
0,29055,extensive,yes,many,yes
0,26434,moderate,no,some,no
1,24768,minimal,yes,some,no
0,4069,moderate,yes,none,yes
1,41275,minimal,yes,none,no
1,53903,minimal,yes,some,yes
1,37310,minimal,yes,none,no
0,7013,moderate,yes,some,yes
0,44462,moderate,yes,none,no
1,60444,minimal,yes,many,no
0,13233,extensive,no,some,no
1,37432,minimal,yes,none,yes
0,15302,extensive,yes,many,no
1,42944,extensive,no,some,no
0,8451,minimal,yes,some,yes
0,37665,extensive,yes,none,yes
0,62838,moderate,yes,some,yes
0,17223,moderate,yes,some,no
1,48054,extensive,no,some,yes
0,19301,extensive,yes,none,no
1,20398,minimal,no,many,no
1,32396,minimal,no,some,yes
1,22180,moderate,no,none,no
1,52460,minimal,yes,none,no
0,32785,extensive,yes,some,yes
0,24711,minimal,no,some,no
1,59051,minimal,yes,none,no
0,22754,minimal,yes,some,yes
1,38458,moderate,yes,none,no
0,36742,moderate,yes,none,no
1,27413,moderate,no,many,yes
0,25491,moderate,no,none,no
0,25522,minimal,yes,some,no
0,37502,extensive,yes,none,yes
0,35225,extensive,yes,some,yes
0,32347,extensive,yes,some,yes
0,10153,moderate,no,none,yes
1,23399,minimal,yes,none,yes
0,12347,extensive,yes,none,yes
1,57159,minimal,yes,some,no
1,46320,minimal,no,some,no
1,54663,minimal,yes,many,no
0,15162,extensive,no,some,no
0,32881,moderate,yes,some,no
0,6919,minimal,no,none,no
0,39824,extensive,no,none,no
1,17006,minimal,no,some,yes
1,32956,moderate,yes,some,no
1,25527,moderate,no,some,yes
0,16602,moderate,yes,none,no
1,81446,moderate,no,many,yes
0,29359,moderate,no,some,yes
0,55927,moderate,yes,some,yes
1,34204,moderate,yes,some,yes
0,5573,moderate,yes,some,no
0,28740,extensive,yes,some,no
0,51354,extensive,no,some,yes
0,17651,extensive,yes,some,yes
1,14336,extensive,yes,many,yes
1,14282,extensive,no,none,no
0,11738,moderate,yes,none,yes
0,18395,extensive,yes,some,yes
1,43596,minimal,yes,many,no
1,67278,moderate,no,none,yes
0,41158,extensive,yes,none,yes
0,30687,extensive,no,some,yes
0,14500,extensive,yes,some,no
0,19142,moderate,yes,some,yes
1,16548,minimal,yes,many,yes
0,38266,minimal,no,some,no
0,15174,extensive,yes,none,yes
0,6180,extensive,yes,none,yes
0,40304,moderate,yes,some,yes
1,47773,extensive,no,some,yes
0,43126,extensive,yes,some,no
1,42319,extensive,yes,many,no
1,56254,moderate,yes,none,yes
1,39485,minimal,yes,some,no
0,18257,minimal,yes,some,no
1,66067,minimal,no,many,no
1,46221,minimal,no,some,no
0,32889,moderate,yes,some,yes
1,55663,extensive,yes,none,yes
0,34525,moderate,yes,some,no
1,67488,extensive,yes,many,yes
1,50333,moderate,no,some,no
1,51949,minimal,yes,many,no
1,36702,moderate,no,some,yes
0,22413,moderate,no,some,no
0,29739,minimal,yes,some,no
0,22564,moderate,yes,none,no
0,20138,moderate,yes,many,no
0,3137,moderate,yes,some,no
1,13306,moderate,no,many,no
0,11829,minimal,no,none,no
0,30002,moderate,yes,some,no
0,27456,extensive,yes,many,yes
0,20773,extensive,yes,some,yes
0,8174,extensive,yes,none,no
0,33940,minimal,yes,some,no
1,44110,extensive,yes,none,yes
1,27815,moderate,no,none,no
1,32221,minimal,yes,some,yes
0,9952,extensive,no,some,yes
1,30879,moderate,yes,some,no
1,30346,minimal,no,some,no
1,34564,minimal,yes,many,no
1,35590,moderate,yes,some,no
0,8516,moderate,yes,some,yes
0,39979,extensive,yes,some,yes
0,28683,extensive,yes,none,no
0,37902,minimal,no,some,yes
1,62269,minimal,no,some,yes
0,18618,moderate,no,some,no
1,25506,minimal,no,some,no
1,31565,moderate,no,some,yes
0,36765,moderate,yes,some,no
1,88050,minimal,no,some,no
1,54607,moderate,no,none,no
1,29154,minimal,yes,many,no
1,57006,moderate,no,none,no
1,56701,minimal,yes,none,no
0,21348,moderate,no,none,yes
1,36620,minimal,yes,none,no
0,4303,minimal,no,some,no
0,28206,extensive,yes,some,yes
1,18789,minimal,yes,some,yes
0,10306,extensive,yes,none,no
0,17306,moderate,yes,none,no
0,23527,moderate,no,some,yes
0,22755,extensive,yes,some,yes
1,42006,extensive,no,many,yes
0,9835,extensive,yes,many,yes
1,45482,extensive,no,some,no
0,16765,extensive,yes,some,yes
1,28902,minimal,yes,some,yes
0,2444,moderate,yes,none,no
1,29700,moderate,yes,many,yes
1,56663,moderate,yes,many,yes
0,6618,moderate,no,some,no
1,41650,minimal,yes,some,no
1,40393,minimal,yes,some,no
1,25041,minimal,no,none,yes
1,29139,minimal,yes,some,no
1,37117,minimal,yes,some,yes
1,48410,minimal,no,none,no
1,11494,moderate,yes,none,no
0,44089,extensive,yes,many,yes
0,24019,minimal,yes,none,no
0,42291,extensive,yes,some,no
0,9253,minimal,yes,some,no
1,24913,minimal,yes,some,no
0,31456,extensive,yes,none,yes
1,50907,minimal,yes,none,yes
0,33001,extensive,yes,some,yes
0,35844,minimal,yes,none,no
0,7627,extensive,yes,none,yes
1,52215,moderate,yes,many,yes
0,18033,moderate,no,some,yes
1,43339,moderate,yes,many,yes
1,32611,minimal,yes,some,no
1,42699,extensive,no,some,yes
1,59251,moderate,yes,many,yes
0,51817,moderate,no,some,no
0,18633,extensive,yes,some,yes
0,16137,moderate,no,some,no
0,24629,extensive,yes,some,yes
0,4348,minimal,yes,none,yes
0,8312,moderate,yes,some,yes
1,35729,moderate,yes,some,no
1,25667,minimal,no,none,no
0,27373,moderate,yes,some,yes
0,26729,extensive,yes,some,yes
0,11152,extensive,yes,some,no
1,59400,moderate,yes,some,no
1,27774,moderate,yes,many,no
1,61195,moderate,yes,none,no
1,42108,moderate,no,many,no
1,43270,moderate,no,none,no
1,34720,moderate,no,some,no
0,24932,moderate,no,some,no
1,68373,moderate,no,some,yes
0,14041,minimal,no,some,no
0,12614,minimal,yes,some,no
1,50164,moderate,yes,none,yes
0,22577,moderate,yes,none,yes
1,6703,minimal,no,none,yes
1,36591,extensive,no,many,yes
1,18435,extensive,yes,some,no
0,9464,extensive,no,some,no
0,23247,extensive,yes,many,no
1,13280,minimal,no,none,yes
0,10871,minimal,yes,none,no
1,48147,minimal,no,none,yes
0,46066,minimal,yes,none,yes
0,18619,minimal,yes,some,no
1,24696,minimal,yes,some,yes
1,34941,minimal,yes,some,yes
1,42338,moderate,yes,none,yes
0,40553,minimal,yes,some,yes
1,17979,minimal,yes,some,no
1,35064,moderate,no,some,yes
1,22234,moderate,no,some,no
1,26859,minimal,no,some,no
0,25165,moderate,yes,none,yes
1,48298,minimal,no,many,no
0,49063,minimal,yes,none,no
0,13135,moderate,yes,some,yes
0,55309,extensive,yes,some,yes
0,42029,moderate,yes,none,yes
0,12880,extensive,yes,none,no
0,17862,extensive,yes,many,yes
0,26499,extensive,yes,some,yes
1,43224,extensive,yes,some,no
1,47441,moderate,yes,some,yes
1,32706,moderate,yes,none,yes
1,28407,minimal,yes,none,yes
0,13604,minimal,yes,some,no
0,50099,minimal,yes,none,no
0,48687,moderate,no,some,yes
0,22462,moderate,yes,some,no
0,9749,moderate,no,some,no
1,46085,moderate,yes,some,no
0,11284,minimal,yes,some,no
1,35501,minimal,yes,many,no
0,22368,moderate,no,many,no
1,47055,minimal,yes,none,no
0,26716,extensive,yes,some,yes
0,2472,extensive,yes,some,no
0,8462,extensive,no,some,yes
0,9418,minimal,yes,some,no
1,32644,moderate,yes,some,yes
1,36198,minimal,yes,some,no
0,19911,extensive,yes,some,yes
0,21256,minimal,yes,some,no
0,3403,moderate,no,some,no
1,21921,extensive,no,none,no
1,31438,minimal,yes,some,yes
0,23439,moderate,no,none,no
1,33430,minimal,no,many,yes
0,13250,extensive,yes,some,yes
0,26167,minimal,no,some,yes
1,41002,minimal,yes,some,no
0,22459,minimal,no,many,no
0,13915,minimal,yes,some,yes
0,32069,extensive,yes,some,yes
0,18480,moderate,no,some,no
1,59831,minimal,no,some,yes
0,28595,extensive,no,some,yes
0,27110,extensive,yes,none,yes
1,25370,moderate,no,some,no
1,39716,minimal,no,some,yes
1,33800,minimal,yes,some,no
0,23524,minimal,no,some,no
0,13198,moderate,yes,some,yes
1,29489,extensive,yes,none,yes
1,47948,moderate,no,many,yes
1,36777,minimal,yes,some,no
1,52816,minimal,yes,some,yes
1,27771,moderate,no,some,no
0,38438,extensive,no,some,yes
0,63332,moderate,yes,none,no
1,41887,extensive,no,many,no
1,37636,minimal,yes,none,yes
0,25314,moderate,yes,some,no
1,16798,minimal,no,many,no
1,27553,moderate,yes,many,no
0,6098,extensive,no,some,yes
0,34658,moderate,no,many,no
0,9434,minimal,yes,some,no
0,23885,extensive,yes,some,no
0,31408,extensive,yes,some,yes
0,36247,moderate,yes,none,no
1,29740,moderate,yes,none,yes
0,7832,minimal,no,none,no
0,28329,minimal,no,none,yes
1,31274,moderate,yes,none,no
0,36724,minimal,yes,some,no
0,24417,extensive,no,some,yes
1,36346,minimal,no,some,no
1,37070,moderate,yes,some,no
0,27997,minimal,yes,some,no
0,15927,moderate,yes,some,no
0,62401,extensive,yes,none,yes
1,6145,moderate,no,none,yes
0,39611,extensive,yes,some,yes
0,31654,moderate,no,none,no
0,3916,moderate,no,none,no
0,37569,extensive,no,none,yes
0,38299,extensive,no,many,yes
1,25667,moderate,yes,many,yes
0,13062,moderate,yes,some,yes
1,10125,minimal,yes,some,yes
0,41405,moderate,no,some,no
1,44336,minimal,yes,some,yes
0,18811,extensive,no,some,yes
1,18532,minimal,no,many,yes
0,30645,extensive,yes,some,yes
0,9809,extensive,no,none,yes
0,31882,extensive,no,some,no
0,15973,moderate,no,some,yes
1,29949,moderate,yes,many,no
0,16334,extensive,yes,none,no
0,6639,extensive,yes,some,yes
0,18448,extensive,yes,some,yes
1,60615,minimal,yes,some,no
0,36731,moderate,yes,some,yes
0,21490,extensive,yes,some,yes
1,29280,extensive,no,none,yes
1,44956,extensive,no,none,yes
0,46497,extensive,yes,some,yes
1,31168,moderate,yes,some,yes
1,22782,moderate,no,some,yes
0,5696,minimal,no,some,no
1,11351,moderate,no,some,no
1,22512,minimal,yes,some,yes
1,36412,minimal,no,none,yes
0,19014,minimal,yes,none,yes
1,55757,minimal,no,some,no
1,17114,extensive,no,some,yes
0,18420,moderate,yes,some,no
1,37385,extensive,yes,none,no
1,63235,extensive,yes,none,yes
0,23041,extensive,no,none,yes
0,38327,minimal,yes,some,no
0,19427,extensive,yes,many,yes
1,23013,extensive,yes,some,yes
1,20505,minimal,no,some,yes
0,12104,minimal,no,some,no
1,28489,moderate,yes,some,no
0,24945,extensive,yes,none,yes
0,43502,extensive,no,some,yes
0,12500,moderate,yes,none,no
1,48649,minimal,yes,none,no
1,46766,minimal,no,some,yes
1,53905,moderate,yes,none,yes
1,19076,minimal,yes,some,yes
0,29834,extensive,no,some,yes
0,12268,moderate,yes,many,no
1,27142,moderate,yes,some,yes
1,44937,minimal,yes,some,no
1,39946,moderate,yes,none,yes
