PID,LOC,"Debug Time","Bugs REM"
B41656,32734,48 hours and 41 minutes,826
B21636,39156,82 hours and 41 minutes,701
B19359,9780,35 hours and 18 minutes,143
B72717,34940,190 hours and 3 minutes,400
B81176,11134,88 hours and 58 minutes,97
B25344,8669,33 hours and 7 minutes,133
B49922,21169,16 hours and 13 minutes,591
B33688,31290,111 hours and 31 minutes,445
B61338,24374,186 hours and 48 minutes,215
B44147,32236,223 hours and 7 minutes,314
B34271,41685,136 hours and 31 minutes,631
B77666,32993,176 hours and 47 minutes,395
B56557,20303,153 hours and 35 minutes,186
B93986,1761,8 hours and 5 minutes,23
B26952,45561,143 hours and 8 minutes,773
B47434,42928,247 hours and 53 minutes,471
B14796,31818,35 hours and 7 minutes,877
B56414,7180,12 hours and 59 minutes,168
B16257,30162,85 hours and 6 minutes,526
B78356,11754,21 hours and 57 minutes,250
B79993,35760,202 hours and 45 minutes,380
B62392,16418,94 hours and 26 minutes,185
B98969,45420,223 hours and 33 minutes,543
B75164,11590,83 hours and 58 minutes,109
B37292,32517,231 hours and 16 minutes,304
B33617,28187,194 hours and 30 minutes,278
B37622,9171,37 hours and 52 minutes,125
B67542,11428,31 hours and 45 minutes,209
B24453,40361,52 hours and 7 minutes,1133
B21754,41017,158 hours and 9 minutes,628
B42544,35960,109 hours and 57 minutes,598
B28241,19002,39 hours and 41 minutes,357
B73717,39500,267 hours and 37 minutes,380
B46251,12318,29 hours and 38 minutes,258
B49998,34289,81 hours and 45 minutes,625
B29879,38705,183 hours and 7 minutes,504
B45396,46014,67 hours and 0 minutes,1168
B85412,42466,29 hours and 44 minutes,3087
B93625,6537,25 hours and 59 minutes,91
B45287,20546,72 hours and 23 minutes,311
B27322,19218,55 hours and 12 minutes,372
B71468,9308,22 hours and 42 minutes,166
B55585,23634,185 hours and 54 minutes,210
B94397,11311,78 hours and 42 minutes,109
B68793,5583,14 hours and 54 minutes,95
B91666,28408,204 hours and 28 minutes,263
B36658,10938,52 hours and 40 minutes,137
B28767,7440,49 hours and 11 minutes,74
B93839,20300,147 hours and 53 minutes,190
B87791,7081,16 hours and 17 minutes,126
B66599,6469,39 hours and 22 minutes,69
B78236,15439,34 hours and 9 minutes,292
B19823,35685,276 hours and 22 minutes,318
B55212,6077,47 hours and 6 minutes,54
B64455,10909,76 hours and 21 minutes,104
B11161,32542,230 hours and 51 minutes,312
B56273,37828,73 hours and 5 minutes,785
B72549,15722,41 hours and 21 minutes,296
B49546,41684,309 hours and 30 minutes,374
B15467,1234,6 hours and 25 minutes,14
B59528,2884,6 hours and 55 minutes,56
B35658,27918,86 hours and 9 minutes,422
B96967,29916,146 hours and 32 minutes,400
B13821,34787,216 hours and 28 minutes,353
B39663,29272,60 hours and 31 minutes,647
B85579,28159,165 hours and 53 minutes,301
B78947,3502,21 hours and 57 minutes,36
B94238,32459,189 hours and 24 minutes,345
B65234,16124,96 hours and 23 minutes,174
B99496,45350,285 hours and 29 minutes,467
B15224,20506,162 hours and 40 minutes,177
B48487,30854,138 hours and 11 minutes,407
B55567,46732,313 hours and 31 minutes,472
B41215,11597,58 hours and 31 minutes,136
B16972,38119,107 hours and 14 minutes,679
B25921,13981,42 hours and 1 minutes,224
B54269,12285,18 hours and 6 minutes,296
B46186,24779,130 hours and 44 minutes,291
B51269,40706,128 hours and 28 minutes,667
B34716,27679,163 hours and 58 minutes,295
B17458,32473,149 hours and 20 minutes,400
B83721,15176,56 hours and 27 minutes,218
B13442,2559,1 hours and 50 minutes,176
B69516,23675,76 hours and 7 minutes,379
B67274,29209,175 hours and 25 minutes,320
B59975,3601,5 hours and 13 minutes,83
B46717,6809,30 hours and 43 minutes,91
B88437,34014,193 hours and 51 minutes,387
B33569,27593,36 hours and 51 minutes,866
B35819,7586,24 hours and 20 minutes,120
B36795,31635,86 hours and 12 minutes,525
B48795,15456,81 hours and 0 minutes,176
B98385,28697,158 hours and 48 minutes,326
B75819,14332,69 hours and 10 minutes,172
B53186,9085,45 hours and 24 minutes,110
B32776,9924,75 hours and 49 minutes,90
B67977,12093,27 hours and 33 minutes,228
B89956,34757,211 hours and 37 minutes,387
B14962,33520,190 hours and 45 minutes,377
B25283,43472,142 hours and 58 minutes,708
B99793,43415,182 hours and 48 minutes,582
B53657,20128,38 hours and 51 minutes,446
B76868,41776,182 hours and 28 minutes,561
B86583,18855,43 hours and 30 minutes,359
B92651,18797,65 hours and 23 minutes,304
B74741,23134,170 hours and 32 minutes,213
B69126,12107,48 hours and 13 minutes,169
B44115,6952,55 hours and 11 minutes,60
B16197,29872,64 hours and 57 minutes,726
B78289,41792,224 hours and 8 minutes,486
B25519,22835,81 hours and 52 minutes,330
B85794,4076,3 hours and 18 minutes,128
B12529,35895,279 hours and 23 minutes,323
B94651,2147,11 hours and 37 minutes,22
B41196,34802,75 hours and 48 minutes,713
B44932,11236,27 hours and 37 minutes,215
B77418,16066,75 hours and 39 minutes,200
B19319,25273,17 hours and 26 minutes,767
B52321,15801,113 hours and 52 minutes,147
B73146,47729,210 hours and 6 minutes,624
B32659,33389,171 hours and 46 minutes,399
B78347,41089,109 hours and 35 minutes,717
B32894,33168,39 hours and 32 minutes,831
B25662,41980,335 hours and 0 minutes,364
B38692,20528,125 hours and 32 minutes,217
B49775,19903,69 hours and 4 minutes,293
B24467,37808,185 hours and 33 minutes,464
B44129,18895,135 hours and 59 minutes,178
B13936,25599,152 hours and 23 minutes,268
B29935,32568,189 hours and 48 minutes,357
B75962,15778,102 hours and 17 minutes,162
B23847,2823,11 hours and 31 minutes,36
B12846,45535,258 hours and 27 minutes,493
B24468,36455,172 hours and 27 minutes,435
B19485,1045,6 hours and 13 minutes,10
B96227,48204,289 hours and 16 minutes,515
B15199,7993,14 hours and 35 minutes,200
B32537,38649,223 hours and 58 minutes,425
B72596,29624,231 hours and 46 minutes,261
B68544,9846,11 hours and 37 minutes,224
B39426,32771,229 hours and 19 minutes,316
B88248,14764,110 hours and 30 minutes,134
B87284,21925,46 hours and 17 minutes,457
B85181,32497,93 hours and 7 minutes,563
B26314,38826,88 hours and 45 minutes,780
B64493,4716,29 hours and 30 minutes,49
B76434,47489,238 hours and 42 minutes,584
B22163,19574,24 hours and 48 minutes,520
B93717,28579,206 hours and 13 minutes,265
B51839,30151,144 hours and 52 minutes,363
B74362,19922,146 hours and 52 minutes,185
B37358,20691,137 hours and 54 minutes,199
B46526,18894,59 hours and 7 minutes,291
B16853,5602,11 hours and 35 minutes,108
B95965,6663,7 hours and 15 minutes,194
B28164,26032,117 hours and 1 minutes,354
B68269,28516,171 hours and 15 minutes,307
B12325,25182,158 hours and 20 minutes,255
B91375,39217,139 hours and 29 minutes,-999
B24916,37628,190 hours and 18 minutes,458
B24591,31795,233 hours and 34 minutes,297
B13979,7925,32 hours and 34 minutes,103
B32581,27547,149 hours and 22 minutes,322
B16496,29614,155 hours and 6 minutes,347
B69776,17845,33 hours and 58 minutes,384
B65399,19622,119 hours and 13 minutes,210
B59372,34497,160 hours and 45 minutes,447
B61229,14479,98 hours and 42 minutes,139
B32584,16109,59 hours and 29 minutes,255
B25995,14040,62 hours and 0 minutes,180
B35172,17826,60 hours and 16 minutes,263
B15925,31232,189 hours and 8 minutes,328
B43283,18211,90 hours and 21 minutes,222
B28135,40568,286 hours and 24 minutes,380
B44971,5969,39 hours and 46 minutes,59
B76355,44008,273 hours and 56 minutes,469
B52952,8801,61 hours and 20 minutes,85
B31583,36754,167 hours and 10 minutes,479
B67558,45148,250 hours and 28 minutes,508
B62819,9200,46 hours and 8 minutes,117
B77822,33814,219 hours and 46 minutes,332
B95178,9671,61 hours and 39 minutes,97
B46732,29147,132 hours and 40 minutes,359
B92977,35936,186 hours and 15 minutes,432
B76243,9406,40 hours and 23 minutes,121
B69155,13020,41 hours and 16 minutes,240
B98927,11536,86 hours and 1 minutes,105
B58942,31856,20 hours and 7 minutes,1296
B56426,34557,45 hours and 53 minutes,1124
B38686,12494,53 hours and 26 minutes,168
B45188,14973,119 hours and 11 minutes,132
B41673,27652,52 hours and 18 minutes,620
B38828,39919,88 hours and 31 minutes,966
B81232,44987,97 hours and 12 minutes,990
B73925,26559,134 hours and 38 minutes,311
B17194,44423,255 hours and 3 minutes,512
B58528,15149,97 hours and 15 minutes,152
B77127,25159,21 hours and 17 minutes,785
B53454,45149,357 hours and 28 minutes,390
B27626,16322,91 hours and 13 minutes,179
B27461,47240,242 hours and 51 minutes,569
B95842,27054,84 hours and 48 minutes,467
B23996,11543,81 hours and 27 minutes,109
B17362,30850,30 hours and 29 minutes,1198
B58222,12472,20 hours and 37 minutes,344
B27161,27937,189 hours and 56 minutes,267
B85246,5201,4 hours and 16 minutes,143
B56852,10190,69 hours and 31 minutes,100
B22613,23529,134 hours and 30 minutes,260
B39447,15545,121 hours and 48 minutes,138
B47356,23730,97 hours and 6 minutes,307
B79511,7119,35 hours and 30 minutes,84
B38272,11425,84 hours and 52 minutes,105
B47359,21614,128 hours and 46 minutes,237
B33865,17875,96 hours and 2 minutes,211
B33711,45282,179 hours and 24 minutes,604
B52253,11377,7 hours and 24 minutes,322
B25612,26295,87 hours and 59 minutes,403
B45128,20417,79 hours and 13 minutes,282
B24654,43126,113 hours and 44 minutes,764
B81386,34638,271 hours and 52 minutes,301
B67241,35604,106 hours and 6 minutes,616
B51414,44326,315 hours and 56 minutes,417
B67138,7388,33 hours and 2 minutes,96
B62997,39887,159 hours and 50 minutes,532
B75735,22331,41 hours and 0 minutes,488
B23789,27293,61 hours and 27 minutes,565
B31145,17411,129 hours and 54 minutes,157
B86411,3347,4 hours and 44 minutes,97
B92235,16467,86 hours and 11 minutes,188
B37881,18895,126 hours and 0 minutes,187
B14177,39407,274 hours and 50 minutes,380
B15588,40122,26 hours and 5 minutes,1408
B56343,42874,143 hours and 9 minutes,645
B21382,19073,106 hours and 17 minutes,207
B82932,16011,39 hours and 16 minutes,333
B64363,32082,126 hours and 49 minutes,443
B68915,16272,115 hours and 3 minutes,156
B66358,11446,63 hours and 5 minutes,123
B26985,44900,334 hours and 23 minutes,411
B22781,22144,15 hours and 31 minutes,665
B95427,11388,44 hours and 16 minutes,166
B72153,25725,148 hours and 19 minutes,289
B23955,31465,199 hours and 7 minutes,326
B84252,32824,256 hours and 49 minutes,292
B31464,21047,32 hours and 11 minutes,506
B18689,12924,36 hours and 57 minutes,257
B43581,36732,230 hours and 11 minutes,376
B54199,41802,241 hours and 15 minutes,456
B75525,41516,313 hours and 18 minutes,376
B63664,27015,17 hours and 51 minutes,864
B44468,41141,300 hours and 55 minutes,383
B15697,6976,47 hours and 4 minutes,68
B15999,24856,161 hours and 30 minutes,255
B17619,999999999999999,43 hours and 39 minutes,73
B48317,44154,139 hours and 12 minutes,744
B53537,27476,151 hours and 44 minutes,315
B67533,14229,33 hours and 36 minutes,266
B18388,24177,142 hours and 13 minutes,263
B75188,37206,99 hours and 56 minutes,693
B54649,45973,222 hours and 40 minutes,577
B21361,48170,106 hours and 4 minutes,997
B95616,17787,31 hours and 42 minutes,385
B55148,35950,270 hours and 37 minutes,330
B91511,24197,164 hours and 46 minutes,234
B79211,41665,22 hours and 22 minutes,1265
B21253,33382,89 hours and 28 minutes,589
B37699,11583,56 hours and 17 minutes,143
B86515,30742,154 hours and 35 minutes,372
B68998,38487,262 hours and 20 minutes,381
B98964,20406,94 hours and 42 minutes,274
B11557,4081,5 hours and 27 minutes,117
B35239,41415,268 hours and 47 minutes,426
B29422,41081,196 hours and 19 minutes,499
B17592,30942,38 hours and 1 minutes,772
B88637,13873,50 hours and 52 minutes,199
B93222,46019,277 hours and 21 minutes,496
B52498,32634,22 hours and 47 minutes,3265
B18484,23944,80 hours and 7 minutes,416
B34926,29055,152 hours and 52 minutes,327
B13635,33200,92 hours and 22 minutes,593
B91494,35038,35 hours and 30 minutes,1154
B15689,26084,155 hours and 30 minutes,277
B85785,40766,117 hours and 29 minutes,702
B98685,1911,6 hours and 46 minutes,28
B37714,24941,71 hours and 20 minutes,427
B81864,30564,157 hours and 41 minutes,371
B68431,38528,268 hours and 58 minutes,370
B78158,30584,177 hours and 37 minutes,334
B22947,31982,24 hours and 57 minutes,1849
B27158,28906,104 hours and 25 minutes,461
B93981,31373,227 hours and 24 minutes,291
B17739,4761,22 hours and 24 minutes,59
B36311,10985,72 hours and 22 minutes,105
B83616,38732,152 hours and 27 minutes,522
B76993,27247,114 hours and 28 minutes,381
B16927,26508,189 hours and 48 minutes,257
B24228,27015,206 hours and 28 minutes,247
B35758,4018,28 hours and 40 minutes,37
B24885,11281,50 hours and 54 minutes,147
B13782,8288,11 hours and 52 minutes,202
B47213,32704,51 hours and 25 minutes,724
B65155,48237,110 hours and 41 minutes,1088
B12333,47031,240 hours and 34 minutes,523
B93331,2862,16 hours and 1 minutes,33
B27131,26015,40 hours and 4 minutes,650
B45822,19986,26 hours and 48 minutes,565
B48781,45475,144 hours and 35 minutes,721
B37581,17489,77 hours and 39 minutes,212
B45512,43017,56 hours and 3 minutes,1198
B84695,38534,36 hours and 5 minutes,1238
B76631,27465,106 hours and 30 minutes,393
B67263,20155,45 hours and 32 minutes,371
B54721,19679,110 hours and 36 minutes,220
B56113,45779,249 hours and 36 minutes,523
B35233,19054,100 hours and 19 minutes,220
B52625,43118,111 hours and 21 minutes,789
B88122,38488,233 hours and 25 minutes,388
B31222,10021,58 hours and 7 minutes,110
B77455,9606,74 hours and 11 minutes,85
B61996,40414,98 hours and 15 minutes,786
B64513,34502,130 hours and 8 minutes,514
B81895,35885,240 hours and 43 minutes,346
B22387,29203,168 hours and 7 minutes,314
B66573,5441,29 hours and 9 minutes,62
B49319,24073,33 hours and 24 minutes,624
B14693,47902,300 hours and 44 minutes,498
B95144,47426,223 hours and 39 minutes,607
B99276,23298,29 hours and 43 minutes,657
B29473,18885,29 hours and 44 minutes,515
B37551,37629,180 hours and 11 minutes,476
B84481,20422,85 hours and 56 minutes,272
B68139,4317,32 hours and 36 minutes,39
B62795,15568,83 hours and 28 minutes,190
B38428,25369,129 hours and 52 minutes,284
B27376,42471,216 hours and 23 minutes,512
B51842,36430,122 hours and 33 minutes,584
B92266,38132,277 hours and 5 minutes,353
B83248,9793,62 hours and 6 minutes,103
B91657,37996,25 hours and 0 minutes,1561
B88521,40488,247 hours and 6 minutes,437
B67443,21504,148 hours and 20 minutes,216
B26856,6839,23 hours and 37 minutes,103
B14379,30431,63 hours and 35 minutes,625
B94541,46998,58 hours and 54 minutes,1450
B71671,23122,90 hours and 15 minutes,342
B68686,1815,6 hours and 21 minutes,26
B64972,30963,123 hours and 54 minutes,425
B45635,30460,154 hours and 49 minutes,352
B15226,7482,20 hours and 22 minutes,131
B28614,29729,141 hours and 17 minutes,379
B53522,10100,40 hours and 20 minutes,137
B99419,47015,221 hours and 47 minutes,619
B82871,7720,59 hours and 33 minutes,68
B87287,13216,96 hours and 55 minutes,122
B92596,41397,122 hours and 34 minutes,672
B89931,20194,11 hours and 44 minutes,982
B77748,48604,361 hours and 55 minutes,449
B84276,21967,31 hours and 14 minutes,655
B88236,23808,31 hours and 7 minutes,547
B82773,3278,11 hours and 33 minutes,51
B21115,7881,15 hours and 29 minutes,171
B14331,24183,113 hours and 21 minutes,296
B17599,45092,131 hours and 54 minutes,777
B72716,22129,154 hours and 10 minutes,214
B19411,29422,198 hours and 42 minutes,285
B86792,37921,87 hours and 39 minutes,850
B72831,15283,39 hours and 0 minutes,234
B59449,14740,18 hours and 53 minutes,305
B91575,5956,35 hours and 41 minutes,60
B71243,32333,239 hours and 6 minutes,297
B58673,8977,52 hours and 16 minutes,97
B27549,30427,110 hours and 42 minutes,459
B39838,34405,275 hours and 2 minutes,302
B53795,26453,209 hours and 43 minutes,230
B29296,45166,318 hours and 49 minutes,429
B91736,23175,135 hours and 19 minutes,250
B93485,8917,58 hours and 1 minutes,92
B13933,33166,217 hours and 30 minutes,329
B81624,35670,102 hours and 19 minutes,592
B17766,13101,28 hours and 41 minutes,270
B53938,49521,123 hours and 21 minutes,886
B54316,21255,81 hours and 52 minutes,303
B78852,15471,111 hours and 58 minutes,143
B74792,44372,335 hours and 4 minutes,408
B67234,29946,92 hours and 49 minutes,529
B97618,17797,130 hours and 22 minutes,170
B97747,33621,34 hours and 7 minutes,875
B39875,3412,23 hours and 30 minutes,33
B53437,37342,292 hours and 56 minutes,326
B46433,35986,165 hours and 39 minutes,446
B36656,37106,217 hours and 5 minutes,403
B27171,34246,113 hours and 59 minutes,521
B45953,21852,81 hours and 58 minutes,300
B56944,22282,126 hours and 24 minutes,244
B79599,18774,135 hours and 47 minutes,176
B78334,16168,27 hours and 26 minutes,368
B14924,13875,23 hours and 20 minutes,364
B89397,39532,83 hours and 49 minutes,768
B25555,29091,160 hours and 38 minutes,326
B37354,5521,42 hours and 35 minutes,49
B22983,36019,269 hours and 21 minutes,326
B87282,34847,24 hours and 34 minutes,904
B13328,38684,308 hours and 6 minutes,339
B72838,17540,10 hours and 12 minutes,786
B65862,34222,247 hours and 56 minutes,322
B72862,19006,86 hours and 8 minutes,238
B26272,4896,21 hours and 49 minutes,68
B66595,37590,135 hours and 0 minutes,560
B48791,47171,375 hours and 10 minutes,411
B49865,11459,30 hours and 41 minutes,201
B68211,31692,208 hours and 20 minutes,310
B64563,29151,44 hours and 0 minutes,794
B26447,24460,100 hours and 46 minutes,350
B44897,21089,45 hours and 9 minutes,485
B42742,26231,87 hours and 12 minutes,377
B98862,40958,305 hours and 53 minutes,377
B71684,25439,149 hours and 25 minutes,277
B72679,15985,53 hours and 0 minutes,248
B96169,35312,121 hours and 23 minutes,571
B97366,39179,167 hours and 14 minutes,518
B97874,33901,261 hours and 59 minutes,303
B91363,33074,115 hours and 0 minutes,475
B65116,44826,272 hours and 22 minutes,476
B54261,22590,26 hours and 45 minutes,591
B57878,40919,113 hours and 21 minutes,731
B67545,10032,54 hours and 38 minutes,113
B81896,27265,25 hours and 2 minutes,709
B66255,33755,114 hours and 7 minutes,509
B74739,23496,14 hours and 27 minutes,757
B52896,12033,48 hours and 55 minutes,173
B13899,45508,34 hours and 21 minutes,1580
B37352,3235,9 hours and 28 minutes,53
B88129,1872,13 hours and 41 minutes,17
B73295,28453,30 hours and 4 minutes,993
B79133,36106,243 hours and 2 minutes,351
B94917,22011,130 hours and 55 minutes,234
B49385,9418,52 hours and 57 minutes,104
B31861,28248,68 hours and 47 minutes,619
B65991,27737,174 hours and 42 minutes,286
B43696,25819,197 hours and 43 minutes,232
B63385,36188,90 hours and 16 minutes,732
B38834,33436,224 hours and 19 minutes,332
B43455,17404,73 hours and 5 minutes,218
B92215,35134,120 hours and 12 minutes,589
B75553,14020,97 hours and 38 minutes,133
B43289,12663,94 hours and 49 minutes,116
B56278,40708,130 hours and 9 minutes,688
B85654,22813,86 hours and 15 minutes,320
B41567,32883,123 hours and 18 minutes,473
B11882,19395,29 hours and 42 minutes,525
B35364,25183,67 hours and 37 minutes,482
B13357,1657,10 hours and 19 minutes,17
B18891,39557,97 hours and 41 minutes,651
B11394,46497,149 hours and 38 minutes,750
B95617,34714,138 hours and 0 minutes,487
B68918,19558,132 hours and 38 minutes,199
B22461,1611,10 hours and 31 minutes,16
B34651,12463,81 hours and 51 minutes,124
B15522,31824,169 hours and 15 minutes,371
B28586,7419,29 hours and 56 minutes,101
B61423,39746,240 hours and 7 minutes,426
B62531,8651,52 hours and 49 minutes,93
B37649,11168,19 hours and 48 minutes,270
B29962,18617,139 hours and 16 minutes,170
B57986,17258,74 hours and 59 minutes,240
B17428,29601,61 hours and 30 minutes,528
B38651,30458,223 hours and 52 minutes,284
B51389,13915,28 hours and 18 minutes,306
B41546,20053,47 hours and 4 minutes,411
B37642,17411,54 hours and 14 minutes,288
B98723,12522,99 hours and 54 minutes,109
B58387,37134,55 hours and 15 minutes,1148
B62738,9505,62 hours and 21 minutes,97
B21851,41292,114 hours and 23 minutes,723
B53195,17837,10 hours and 34 minutes,734
B84849,9196,43 hours and 35 minutes,117
B91744,28012,90 hours and 28 minutes,517
B42996,48572,211 hours and 6 minutes,683
B76295,3549,5 hours and 28 minutes,113
B85717,25502,136 hours and 18 minutes,301
B15114,38518,220 hours and 6 minutes,421
B71133,9336,31 hours and 59 minutes,139
B69789,24363,62 hours and 10 minutes,441
B99555,29321,61 hours and 43 minutes,546
B37935,19913,148 hours and 1 minutes,184
B87839,45583,210 hours and 6 minutes,578
B34158,9907,73 hours and 6 minutes,91
B76728,32798,179 hours and 40 minutes,391
B94473,15168,95 hours and 50 minutes,157
B95898,4414,28 hours and 47 minutes,43
B87797,14055,22 hours and 18 minutes,355
B19139,11203,74 hours and 5 minutes,113
B61946,5927,23 hours and 21 minutes,80
B78531,18866,122 hours and 50 minutes,191
B89226,11932,23 hours and 28 minutes,232
B67989,6914,5 hours and 24 minutes,346
B83577,26867,206 hours and 37 minutes,243
B29257,38428,205 hours and 23 minutes,439
B43694,48081,272 hours and 58 minutes,543
B22563,46846,72 hours and 45 minutes,1066
B16772,25336,137 hours and 10 minutes,296
B82192,37583,217 hours and 9 minutes,415
B99494,16748,43 hours and 42 minutes,353
B14965,3388,13 hours and 35 minutes,45
B58954,31162,26 hours and 17 minutes,1294
B17482,43205,167 hours and 20 minutes,577
B18671,34824,177 hours and 27 minutes,428
B31761,23343,14 hours and 45 minutes,848
B77291,12168,13 hours and 29 minutes,263
B79982,15179,11 hours and 38 minutes,598
B45591,39532,287 hours and 28 minutes,367
B77244,2744,14 hours and 50 minutes,32
B68182,27420,185 hours and 57 minutes,262
B47216,11350,88 hours and 24 minutes,101
B55518,5792,22 hours and 2 minutes,86
B79267,25691,61 hours and 53 minutes,461
B47898,7579,47 hours and 31 minutes,80
B18161,13856,41 hours and 20 minutes,248
B57333,18022,62 hours and 46 minutes,288
B22998,39561,205 hours and 18 minutes,482
B97448,37541,97 hours and 29 minutes,674
B71139,4012,7 hours and 37 minutes,79
B22858,1401,0 hours and 59 minutes,55
B15529,25163,122 hours and 26 minutes,320
B47167,34359,143 hours and 38 minutes,481
B11366,34353,94 hours and 41 minutes,568
B91792,17549,138 hours and 31 minutes,152
B61416,25784,28 hours and 53 minutes,628
B59965,23037,26 hours and 53 minutes,670
B74726,31532,235 hours and 48 minutes,292
B79368,21196,147 hours and 14 minutes,205
B52537,12435,10 hours and 11 minutes,406
B62349,28514,93 hours and 4 minutes,427
B98268,34601,191 hours and 28 minutes,394
B94895,39117,281 hours and 37 minutes,368
B29282,20734,152 hours and 39 minutes,190
B59912,19593,35 hours and 19 minutes,446
B41287,25229,132 hours and 6 minutes,308
B45274,4539,30 hours and 30 minutes,45
B33946,16747,17 hours and 55 minutes,435
B33956,9403,29 hours and 41 minutes,147
B98973,28427,159 hours and 50 minutes,322
B81723,41150,193 hours and 8 minutes,516
B55987,31411,119 hours and 35 minutes,443
B22769,37258,142 hours and 15 minutes,526
B46947,40980,135 hours and 39 minutes,698
B33543,41751,216 hours and 30 minutes,489
B86553,29866,158 hours and 18 minutes,354
B43625,10825,13 hours and 55 minutes,306
B65482,37269,46 hours and 52 minutes,768
B57631,16468,85 hours and 10 minutes,194
B73157,24622,79 hours and 4 minutes,396
B67747,39216,306 hours and 15 minutes,348
B93572,39704,273 hours and 50 minutes,389
B17113,7009,26 hours and 58 minutes,114
B57765,34782,175 hours and 59 minutes,422
B96958,40573,154 hours and 59 minutes,589
B98359,10085,48 hours and 26 minutes,128
B51759,31891,144 hours and 21 minutes,405
B12512,26355,58 hours and 33 minutes,480
B93927,12155,17 hours and 8 minutes,309
B59558,8447,24 hours and 1 minutes,142
B15573,26576,173 hours and 25 minutes,275
B99699,27688,202 hours and 41 minutes,254
B65397,28583,30 hours and 25 minutes,878
B14552,9917,56 hours and 0 minutes,110
B47978,14579,89 hours and 44 minutes,158
B46342,28980,104 hours and 28 minutes,415
B69637,37925,72 hours and 0 minutes,955
B66491,26336,116 hours and 49 minutes,345
B69827,17995,43 hours and 27 minutes,373
B56492,37419,232 hours and 20 minutes,385
B12834,24315,96 hours and 11 minutes,352
B66234,45147,202 hours and 48 minutes,570
B55791,34772,70 hours and 31 minutes,708
B62166,8072,59 hours and 39 minutes,73
B51154,31988,187 hours and 18 minutes,345
B42176,7662,56 hours and 50 minutes,70
B78568,6912,33 hours and 27 minutes,83
B53686,34620,125 hours and 24 minutes,540
B65379,38180,66 hours and 34 minutes,830
B37984,21519,158 hours and 54 minutes,200
