PID,LOC,"Debug Time","Bugs REM"
A98188,46750,36 hours and 16 minutes,1416
A88961,34910,73 hours and 13 minutes,723
A15513,47906,320 hours and 28 minutes,482
A77514,35632,236 hours and 38 minutes,359
A87218,5745,20 hours and 44 minutes,85
A39477,32852,184 hours and 11 minutes,373
A79699,15063,113 hours and 55 minutes,136
A12242,31175,243 hours and 57 minutes,277
A94996,11847,51 hours and 33 minutes,158
A28486,46823,94 hours and 32 minutes,1032
A22328,19609,88 hours and 7 minutes,274
A48736,33689,123 hours and 3 minutes,489
A39194,8381,52 hours and 43 minutes,89
A77269,31036,178 hours and 44 minutes,336
A17332,44811,59 hours and 38 minutes,1684
A19878,5765,26 hours and 2 minutes,73
A83946,38505,70 hours and 33 minutes,834
A22398,34751,246 hours and 50 minutes,323
A68896,34395,214 hours and 57 minutes,364
A63561,33104,105 hours and 7 minutes,593
A93789,47638,81 hours and 51 minutes,1234
A58836,16421,35 hours and 2 minutes,332
A75954,35947,278 hours and 53 minutes,321
A17353,16991,119 hours and 1 minutes,160
A23142,38964,213 hours and 9 minutes,462
A74341,20079,117 hours and 57 minutes,210
A88296,39939,89 hours and 57 minutes,1026
A86116,39494,62 hours and 25 minutes,928
A26863,3034,6 hours and 45 minutes,70
A45282,36336,186 hours and 6 minutes,442
A32627,24387,162 hours and 16 minutes,246
A63147,32467,135 hours and 5 minutes,449
A38767,12946,88 hours and 54 minutes,126
A78866,11334,5 hours and 59 minutes,455
A86663,31120,57 hours and 23 minutes,803
A26781,38106,269 hours and 19 minutes,361
A55965,8267,26 hours and 54 minutes,135
A26576,25348,161 hours and 23 minutes,251
A91344,1794,1 hours and 7 minutes,54
A54735,14527,39 hours and 38 minutes,229
A91658,36650,53 hours and 20 minutes,797
A18832,40636,293 hours and 24 minutes,382
A44178,39222,37 hours and 31 minutes,1298
A73566,37201,204 hours and 26 minutes,425
A32377,43779,129 hours and 31 minutes,869
A85373,29346,88 hours and 23 minutes,460
A24219,33620,229 hours and 24 minutes,328
A64355,27633,135 hours and 30 minutes,364
A12567,16828,101 hours and 51 minutes,183
A16967,6688,38 hours and 59 minutes,74
A19953,41027,85 hours and 39 minutes,806
A99745,26346,64 hours and 3 minutes,579
A62837,18739,90 hours and 33 minutes,232
A57546,38429,295 hours and 45 minutes,339
A41441,13334,65 hours and 50 minutes,161
A18823,13180,20 hours and 57 minutes,264
A68473,37525,73 hours and 45 minutes,791
A85659,31417,158 hours and 5 minutes,379
A87657,35811,224 hours and 23 minutes,366
A81628,16674,49 hours and 39 minutes,266
A75335,42862,99 hours and 27 minutes,788
A18557,44027,139 hours and 29 minutes,762
A14255,45565,123 hours and 38 minutes,764
A21589,4174,9 hours and 37 minutes,80
A52156,7446,49 hours and 55 minutes,75
A56116,1670,8 hours and 16 minutes,18
A83227,33580,108 hours and 41 minutes,565
A64893,17377,86 hours and 21 minutes,204
A81876,16545,66 hours and 50 minutes,223
A24973,12193,15 hours and 33 minutes,335
A21192,5485,36 hours and 2 minutes,54
A96712,24422,94 hours and 57 minutes,369
A39445,9522,38 hours and 47 minutes,137
A18686,4928,30 hours and 10 minutes,51
A74234,29851,175 hours and 26 minutes,322
A74165,40437,74 hours and 35 minutes,835
A32751,22683,100 hours and 31 minutes,308
A41363,21380,94 hours and 11 minutes,260
A17831,37571,278 hours and 31 minutes,349
A33428,3756,11 hours and 37 minutes,62
A35159,45374,148 hours and 6 minutes,734
A25692,48137,200 hours and 29 minutes,665
A26211,18352,64 hours and 48 minutes,289
A23692,8902,55 hours and 52 minutes,93
A29923,15175,50 hours and 26 minutes,217
A49837,39358,181 hours and 43 minutes,514
A64494,21432,19 hours and 8 minutes,637
A82167,36166,254 hours and 44 minutes,339
A55916,30670,44 hours and 43 minutes,672
A82179,25577,160 hours and 12 minutes,261
A56248,43299,30 hours and 1 minutes,1473
A12351,23220,50 hours and 55 minutes,526
A56638,44123,223 hours and 18 minutes,527
A91618,38690,127 hours and 15 minutes,625
A98336,6278,36 hours and 52 minutes,68
A43714,27869,145 hours and 57 minutes,314
A16411,30870,17 hours and 15 minutes,1011
A63227,44872,59 hours and 45 minutes,1061
A25139,19266,121 hours and 11 minutes,197
A95159,7983,45 hours and 37 minutes,88
A19239,4088,23 hours and 16 minutes,43
A89113,23928,82 hours and 54 minutes,381
A62468,35049,267 hours and 42 minutes,310
A72947,17128,132 hours and 37 minutes,153
A29515,40332,196 hours and 49 minutes,498
A43754,41169,187 hours and 49 minutes,532
A69962,28214,51 hours and 35 minutes,571
A99768,37522,122 hours and 12 minutes,573
A92995,27250,167 hours and 38 minutes,283
A39649,44624,310 hours and 19 minutes,428
A87332,49293,164 hours and 4 minutes,760
A55184,25824,106 hours and 31 minutes,358
A94761,24589,150 hours and 22 minutes,256
A16944,15903,75 hours and 19 minutes,190
A16263,39136,43 hours and 11 minutes,1143
A42325,24114,91 hours and 3 minutes,353
A68234,8164,62 hours and 24 minutes,72
A14571,41677,108 hours and 49 minutes,822
A81522,41775,274 hours and 21 minutes,411
A38575,22315,136 hours and 4 minutes,226
A98296,29845,215 hours and 43 minutes,280
A92847,9703,40 hours and 31 minutes,124
A15681,7359,37 hours and 53 minutes,85
A95645,22701,23 hours and 41 minutes,1094
A81654,22859,139 hours and 10 minutes,247
A18475,38186,246 hours and 8 minutes,384
A19115,23061,145 hours and 47 minutes,237
A66247,8272,25 hours and 33 minutes,135
A85513,23426,91 hours and 37 minutes,329
A83563,40296,26 hours and 42 minutes,1274
A97949,28842,21 hours and 32 minutes,1113
A64376,25318,44 hours and 45 minutes,584
A71674,26513,203 hours and 53 minutes,236
A84994,8263,27 hours and 56 minutes,145
A56529,8293,48 hours and 40 minutes,93
A66876,6288,29 hours and 14 minutes,80
A91738,28839,20 hours and 7 minutes,1339
A57146,36260,181 hours and 1 minutes,439
A37163,45114,157 hours and 49 minutes,691
A48134,23162,35 hours and 55 minutes,559
A18864,42310,94 hours and 47 minutes,911
A37461,29934,47 hours and 20 minutes,677
A51111,33879,98 hours and 1 minutes,549
A27674,11791,62 hours and 17 minutes,142
A79619,39330,150 hours and 30 minutes,553
A55773,9344,74 hours and 39 minutes,81
A51346,20750,114 hours and 57 minutes,234
A56649,44224,161 hours and 23 minutes,600
A88168,2015,11 hours and 52 minutes,21
A84527,23454,57 hours and 8 minutes,523
A44843,13810,96 hours and 58 minutes,134
A74339,7705,54 hours and 37 minutes,72
A89732,18655,41 hours and 17 minutes,334
A88915,24556,161 hours and 33 minutes,252
A17347,46841,43 hours and 27 minutes,1051
A38621,45024,276 hours and 44 minutes,478
A55533,46532,339 hours and 46 minutes,431
A25298,46764,88 hours and 7 minutes,1136
A29148,34846,191 hours and 21 minutes,414
A32976,41189,274 hours and 38 minutes,413
A28716,40553,231 hours and 25 minutes,456
A11528,16661,102 hours and 48 minutes,169
A21774,24511,89 hours and 55 minutes,377
A91488,32505,21 hours and 50 minutes,1279
A13894,7679,60 hours and 59 minutes,67
A45966,32608,140 hours and 2 minutes,459
A34113,31251,171 hours and 12 minutes,341
A45421,28684,205 hours and 26 minutes,268
A79276,21229,145 hours and 56 minutes,203
A78826,25226,17 hours and 37 minutes,793
A95449,8394,41 hours and 27 minutes,102
A33181,31828,144 hours and 34 minutes,407
A38928,45206,249 hours and 16 minutes,533
A51894,40841,309 hours and 56 minutes,372
A87546,20329,162 hours and 11 minutes,179
A83764,20544,92 hours and 43 minutes,251
A13579,20275,26 hours and 41 minutes,776
A64767,2811,20 hours and 9 minutes,26
A22658,13742,19 hours and 18 minutes,334
A98564,49122,245 hours and 47 minutes,574
A61539,42264,287 hours and 25 minutes,406
A47917,28059,174 hours and 27 minutes,294
A74394,12018,68 hours and 39 minutes,133
A61441,47803,328 hours and 56 minutes,472
A13852,32426,248 hours and 26 minutes,291
A54247,29176,159 hours and 17 minutes,336
A51767,30325,49 hours and 32 minutes,678
A59982,42412,202 hours and 38 minutes,539
A84191,2715,12 hours and 37 minutes,36
A28132,3683,15 hours and 17 minutes,50
A24225,16518,44 hours and 14 minutes,316
A68417,16065,50 hours and 39 minutes,276
A74383,14389,114 hours and 12 minutes,125
A64398,21998,129 hours and 34 minutes,238
A66265,19441,12 hours and 35 minutes,600
A91371,17924,85 hours and 32 minutes,220
A45196,46406,82 hours and 32 minutes,1106
A37399,10195,45 hours and 29 minutes,140
A32196,12504,75 hours and 15 minutes,136
A26722,11614,31 hours and 43 minutes,206
A89768,13487,79 hours and 13 minutes,143
A94844,13458,36 hours and 7 minutes,270
A12547,23636,127 hours and 49 minutes,278
A71393,24232,134 hours and 57 minutes,273
A16123,4970,22 hours and 20 minutes,64
A69859,37198,131 hours and 5 minutes,544
A29169,21763,119 hours and 36 minutes,241
A94151,48775,153 hours and 16 minutes,843
A34418,8554,57 hours and 11 minutes,82
A54932,38010,183 hours and 26 minutes,475
A46955,21717,48 hours and 19 minutes,488
A55713,33850,195 hours and 17 minutes,363
A95871,41817,197 hours and 44 minutes,536
A22769,48173,318 hours and 7 minutes,478
A66558,20217,84 hours and 42 minutes,282
A67661,22484,84 hours and 8 minutes,340
A97361,5905,33 hours and 39 minutes,64
A13683,37529,158 hours and 59 minutes,482
A84196,37019,165 hours and 56 minutes,484
A73847,23031,25 hours and 32 minutes,709
A12121,30635,205 hours and 13 minutes,309
A97423,39081,254 hours and 52 minutes,394
A47535,28549,79 hours and 46 minutes,507
A16367,14378,102 hours and 53 minutes,136
A41376,45146,324 hours and 56 minutes,423
A18713,42855,251 hours and 47 minutes,470
A32984,8076,12 hours and 0 minutes,147
A38426,32354,219 hours and 7 minutes,309
A14639,40635,310 hours and 41 minutes,366
A29499,46556,75 hours and 13 minutes,1376
A63617,45413,143 hours and 39 minutes,821
A84663,24135,102 hours and 12 minutes,321
A18323,15222,117 hours and 15 minutes,137
A72245,32001,103 hours and 35 minutes,530
A23966,19032,88 hours and 59 minutes,251
A79953,46183,180 hours and 13 minutes,621
A37185,5454,22 hours and 25 minutes,70
A38985,24133,84 hours and 9 minutes,379
A17784,17663,14 hours and 50 minutes,1146
A23945,16226,53 hours and 50 minutes,241
A87156,11301,45 hours and 31 minutes,155
A25665,33789,147 hours and 4 minutes,483
A66966,10811,12 hours and 14 minutes,300
A33896,36600,172 hours and 9 minutes,466
A63315,29378,79 hours and 1 minutes,485
A58987,34285,43 hours and 39 minutes,958
A38955,22586,50 hours and 52 minutes,449
A97491,23337,157 hours and 49 minutes,222
A14535,26971,17 hours and 15 minutes,1908
A22193,7018,55 hours and 2 minutes,62
A36568,19133,57 hours and 30 minutes,327
A61236,35575,183 hours and 7 minutes,408
A61813,11232,9 hours and 35 minutes,381
A77369,47775,46 hours and 3 minutes,1215
A43779,17001,118 hours and 29 minutes,163
A41485,37569,121 hours and 35 minutes,599
A54897,9790,14 hours and 34 minutes,261
A59852,28757,116 hours and 8 minutes,354
A22366,21904,139 hours and 2 minutes,230
A36894,38944,152 hours and 43 minutes,566
A74939,41715,305 hours and 17 minutes,395
A97282,25124,171 hours and 31 minutes,243
A57198,26517,44 hours and 11 minutes,583
A21132,38491,117 hours and 17 minutes,640
A12294,34559,164 hours and 49 minutes,403
A85699,43222,24 hours and 50 minutes,1539
A25596,4028,13 hours and 23 minutes,70
A94953,30581,208 hours and 33 minutes,298
A46784,10532,69 hours and 32 minutes,107
A23516,19592,78 hours and 13 minutes,280
A26425,33795,46 hours and 6 minutes,1349
A19366,32860,138 hours and 55 minutes,448
A93375,12605,95 hours and 55 minutes,114
A25626,6111,31 hours and 33 minutes,70
A24684,46967,314 hours and 20 minutes,458
A66214,17549,52 hours and 12 minutes,314
A93644,26205,177 hours and 11 minutes,258
A28393,31112,217 hours and 46 minutes,294
A37353,23187,153 hours and 49 minutes,235
A14973,31280,129 hours and 26 minutes,409
A21789,44228,74 hours and 2 minutes,972
A35475,17068,61 hours and 19 minutes,267
A77667,2867,22 hours and 49 minutes,24
A88572,16181,24 hours and 34 minutes,434
A92273,40091,300 hours and 31 minutes,372
A14434,30200,165 hours and 39 minutes,332
A87435,24996,87 hours and 7 minutes,390
A12911,25320,96 hours and 33 minutes,359
A39867,41316,237 hours and 38 minutes,466
A15388,28711,52 hours and 40 minutes,619
A45431,16747,24 hours and 5 minutes,388
A24833,32473,19 hours and 28 minutes,2264
A41645,29642,82 hours and 14 minutes,510
A25942,27436,187 hours and 40 minutes,271
A23913,23199,96 hours and 26 minutes,312
A79571,23678,15 hours and 7 minutes,941
A97677,17852,125 hours and 1 minutes,173
A82496,23900,52 hours and 45 minutes,468
A35833,23136,163 hours and 49 minutes,219
A76234,23499,43 hours and 11 minutes,506
A16968,12375,97 hours and 48 minutes,108
A11875,5268,13 hours and 52 minutes,97
A74734,24910,77 hours and 10 minutes,414
A26653,22540,108 hours and 28 minutes,270
A44816,49751,61 hours and 22 minutes,1189
A53963,40708,123 hours and 11 minutes,614
A75348,49328,328 hours and 10 minutes,496
A32882,44374,233 hours and 32 minutes,532
A51747,5810,29 hours and 18 minutes,69
A45652,30199,104 hours and 6 minutes,454
A24745,3821,13 hours and 35 minutes,58
A17591,20268,93 hours and 51 minutes,256
A39975,43506,215 hours and 2 minutes,559
A69577,30785,70 hours and 28 minutes,589
A41595,22534,73 hours and 18 minutes,344
A48536,20878,139 hours and 19 minutes,206
A92158,37468,83 hours and 11 minutes,718
A26747,3355,13 hours and 27 minutes,45
A14539,32274,159 hours and 47 minutes,387
A11632,46255,173 hours and 55 minutes,654
A17371,37299,159 hours and 26 minutes,519
A44217,49245,174 hours and 50 minutes,780
A79913,15574,99 hours and 40 minutes,162
A93383,37609,200 hours and 26 minutes,434
A84716,27208,202 hours and 54 minutes,249
A36196,13188,58 hours and 45 minutes,172
A46229,15864,20 hours and 16 minutes,449
A31518,32729,172 hours and 46 minutes,384
A89591,29667,213 hours and 3 minutes,279
A39127,45955,25 hours and 44 minutes,1756
A65658,14626,10 hours and 16 minutes,496
A79472,26656,101 hours and 58 minutes,379
A36549,43415,132 hours and 53 minutes,738
A73858,11501,45 hours and 16 minutes,162
A23984,45107,318 hours and 29 minutes,421
A88454,37081,149 hours and 53 minutes,522
A46612,38074,213 hours and 37 minutes,430
A97846,8951,46 hours and 47 minutes,101
A87998,18767,146 hours and 39 minutes,170
A92882,35429,86 hours and 52 minutes,665
A68644,43078,228 hours and 52 minutes,494
A26811,27144,79 hours and 9 minutes,495
A54449,16007,95 hours and 11 minutes,166
A85247,12443,92 hours and 45 minutes,112
A74154,22395,101 hours and 43 minutes,275
A82335,39607,153 hours and 11 minutes,585
A14585,46918,113 hours and 13 minutes,955
A97516,5963,11 hours and 37 minutes,133
A11447,28099,217 hours and 8 minutes,254
A77268,6887,41 hours and 59 minutes,74
A18424,26054,87 hours and 0 minutes,448
A14248,34067,35 hours and 33 minutes,880
A55938,2748,18 hours and 11 minutes,26
A68973,12474,96 hours and 42 minutes,111
A41265,39142,224 hours and 9 minutes,451
A51749,14804,112 hours and 28 minutes,130
A94784,20848,15 hours and 1 minutes,851
A95885,2285,16 hours and 18 minutes,21
A88587,37774,284 hours and 18 minutes,344
A47351,37999,191 hours and 52 minutes,450
A45887,11467,57 hours and 54 minutes,143
A62688,4861,11 hours and 18 minutes,86
A12873,42002,46 hours and 24 minutes,1145
A65189,36436,137 hours and 11 minutes,519
A99874,44557,192 hours and 11 minutes,565
A25558,43811,140 hours and 5 minutes,690
A81962,21006,31 hours and 44 minutes,440
A78892,41778,251 hours and 31 minutes,439
A92987,32545,56 hours and 55 minutes,808
A29948,28794,121 hours and 23 minutes,374
A32678,26618,206 hours and 45 minutes,235
A14862,34806,147 hours and 23 minutes,429
A54541,41021,82 hours and 39 minutes,925
A99655,22836,18 hours and 11 minutes,598
A77841,37778,67 hours and 24 minutes,769
A63264,22814,65 hours and 40 minutes,382
A85447,12175,63 hours and 32 minutes,153
A71733,45434,49 hours and 3 minutes,1601
A11424,4972,30 hours and 43 minutes,51
A39139,13437,85 hours and 5 minutes,138
A18688,41448,299 hours and 52 minutes,384
A18945,19072,76 hours and 2 minutes,267
A54621,14028,66 hours and 53 minutes,174
A72837,43061,118 hours and 6 minutes,718
A59379,12559,48 hours and 32 minutes,186
A44118,44164,234 hours and 40 minutes,486
A52168,38996,86 hours and 55 minutes,761
A75424,14179,42 hours and 11 minutes,257
A12755,30731,62 hours and 30 minutes,624
A67248,6910,32 hours and 37 minutes,89
A92753,17263,76 hours and 22 minutes,218
A54143,21086,121 hours and 1 minutes,243
A75661,24164,164 hours and 37 minutes,235
A57175,33566,218 hours and 44 minutes,334
A33357,28833,176 hours and 4 minutes,303
A53348,14039,20 hours and 10 minutes,342
A98538,43300,101 hours and 5 minutes,811
A32149,31118,63 hours and 58 minutes,723
A12478,28327,85 hours and 33 minutes,450
A69851,20572,89 hours and 6 minutes,269
A21852,11061,87 hours and 23 minutes,98
A51973,39895,195 hours and 21 minutes,496
A83982,32895,94 hours and 51 minutes,585
A44426,46483,234 hours and 52 minutes,573
A35218,38066,226 hours and 14 minutes,415
A27412,18589,148 hours and 41 minutes,162
A76561,13000,79 hours and 54 minutes,136
A11564,20918,117 hours and 15 minutes,236
A94384,35636,136 hours and 7 minutes,527
A57488,17041,84 hours and 8 minutes,210
A11161,12796,96 hours and 31 minutes,115
A28619,7151,52 hours and 20 minutes,66
A51578,23248,86 hours and 32 minutes,355
A15933,31254,74 hours and 45 minutes,588
A55639,32546,192 hours and 11 minutes,353
A97174,17678,25 hours and 14 minutes,393
A31334,48213,220 hours and 15 minutes,637
A36664,15843,97 hours and 22 minutes,164
A52269,16993,22 hours and 43 minutes,434
A27887,45192,209 hours and 32 minutes,565
A41815,32714,217 hours and 39 minutes,318
A25157,47591,203 hours and 40 minutes,676
A33263,31319,183 hours and 12 minutes,341
A88117,35198,102 hours and 32 minutes,600
A82817,5106,3 hours and 11 minutes,183
A26274,10740,53 hours and 2 minutes,125
A53245,25638,132 hours and 16 minutes,311
A14114,13159,39 hours and 41 minutes,210
A85359,40812,284 hours and 43 minutes,400
A44248,23488,29 hours and 59 minutes,885
A52279,37697,289 hours and 55 minutes,336
A61897,39870,128 hours and 49 minutes,625
A34298,21744,135 hours and 42 minutes,227
A75744,48002,71 hours and 32 minutes,1111
A56236,3508,12 hours and 57 minutes,50
A29942,40524,276 hours and 34 minutes,401
A85959,1904,12 hours and 32 minutes,18
A79229,38676,231 hours and 44 minutes,402
A48778,14012,67 hours and 37 minutes,173
A51986,11410,16 hours and 17 minutes,353
A91295,14204,23 hours and 17 minutes,544
A71237,22828,32 hours and 7 minutes,629
A14658,29500,147 hours and 52 minutes,364
A37417,26094,63 hours and 13 minutes,485
A82779,12030,35 hours and 32 minutes,221
A96515,42151,289 hours and 36 minutes,412
A47385,19550,56 hours and 26 minutes,358
A82326,47096,58 hours and 11 minutes,1239
A68372,17237,15 hours and 50 minutes,478
A71615,48248,233 hours and 3 minutes,616
A73581,3639,22 hours and 31 minutes,38
A81954,25675,112 hours and 34 minutes,331
A81154,49712,234 hours and 10 minutes,615
A11797,7477,19 hours and 51 minutes,119
A73616,3336,21 hours and 17 minutes,35
A48399,12968,23 hours and 23 minutes,275
A83482,21745,85 hours and 43 minutes,312
A71144,12254,72 hours and 34 minutes,130
A17133,49857,134 hours and 37 minutes,876
A16191,39835,155 hours and 42 minutes,604
A92337,18739,29 hours and 15 minutes,456
A79658,49192,264 hours and 33 minutes,561
A82535,38844,169 hours and 32 minutes,495
A61119,44428,187 hours and 20 minutes,595
A86467,20315,100 hours and 22 minutes,240
A23625,2496,11 hours and 19 minutes,31
A63191,30611,133 hours and 35 minutes,421
A96213,12588,55 hours and 26 minutes,163
A31211,10979,65 hours and 51 minutes,118
A69485,35604,30 hours and 50 minutes,1025
A56466,15008,80 hours and 23 minutes,173
